Symbol,Sector,Market_Regime,Market_Regime_Score,Price,Change_%,Return_5D,Return_10D,Return_20D,RSI,RSI_Change,SMA20,SMA50,Above_SMA20,Above_SMA50,SMA_Gap,Momentum_Acceleration,RVOL,Volume,Average_Volume,Dollar_Volume,Volume_Trend,Volatility_20D,ATR,ATR_Percent,Range_Position,Distance_From_52W_High,Breakout,Distance_From_High_%,Overextended,Entry,Stop_Loss,Target_1,Target_2,Risk_Reward,Momentum_Score,Trend_Score,Relative_Strength,Setup_Quality,Risk_Per_Share,Shares,Capital_Required,Volume_Score,Relative_Strength_Score,Setup_Score,Risk_Score,Market_Regime_Adjustment,Risk_Reward_Score,Rank_Score,ML_Probability,ML_Prediction,ML_Model,ML_Accuracy,ML_F1,ML_Features,Historical_ML_Probability,Research_Score,Risk_Adjustment,Risk_Penalty,Combined_ML_Probability,AI_Final_Score,AI_Learned_Score,AI_Final_Score_Adjusted,AI_Confidence,AI_Confidence_Level,Trade_Quality,Combined_ML_Strength,AI_Rating,AI_Positive_Factors,AI_Negative_Factors,AI_Summary,AI_Decision,AI_Decision_Reason,Trade_Reason,Strengths,Risks,AI_Action,AI_Analyst_Score,AI_Analyst_Rating,AI_Analyst_Confidence,Portfolio_Score,Portfolio_Category,Portfolio_Rank,Signal,Signal_Explanation,Score_Breakdown,Strategy,Confidence_Score,Date,Adjusted_Close,Close,High,Low,Open,Volume_feature,Return_10D_feature,RSI_Change_feature,SMA20_feature,SMA50_feature,SMA_Gap_feature,Momentum_Acceleration_feature,Average_Volume_feature,RVOL_feature,Volatility_20D_feature,ATR_feature,ATR_Percent_feature,Range_Position_feature,Distance_From_52W_High_feature,Volume_Trend_feature,Dollar_Volume_feature,Entry_Price,Recommended_Shares,Capital_Allocation_$,Trade_Grade,Trade_Execution_Status,Reward_Risk,Expected_Value,AI_Reason,Model_Name,Model_F1,Model_Status,Final_Conviction_Score,Final_Conviction_Rating,Final_Action,Conviction_Rank,Conviction_Tier,Portfolio_Action,Portfolio_Allocation_%,Market_Exposure_%,Portfolio_Risk_$,Portfolio_Approved,Portfolio_Status,Risk_Status,Risk_Reason,Final_AI_Status,Final_AI_Reason
CNMD,Healthcare,STRONG_BULL,0,41.26,4.8787,-8.34,12.44,16.54,58.32,-2.69,38.3,36.4,True,True,5.23,-12.48,2.51,1436300.0,762484.85,10689047.01,0.69,4.39,2.06,4.99,0.69,-27.16,False,-8.34,False,41.26,37.76,52.18,58.36,1.51,20,20,13.381021997421978,65,4.12,18,742.68,10,15,13.0,100,0,3,84.0,64.06,1,model_v33,0,0,20,62.66,120.0,1.51,0,63.64,67.04,67.04,67.04,62.18,MEDIUM,WATCH,63.22,BUY,Strong momentum | Positive technical trend | High ML probability,,"CNMD | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong technical ranking. Strong current ML confirmation. Historical patterns support setup,"✓ Positive 20D momentum (+16.5%)
✓ Outperforming SPY (+13.4%)
✓ Above SMA20
✓ Above SMA50
✓ High volume (RVOL 2.51)",['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.98,AVOID,LOW,58.64,SECONDARY WATCH,1,BUY,"['Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 20
Trend: 20
Volume: 10
Relative Strength: 15
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 3",QUALITY SETUP,70,2026-07-21,41.880001068115234,41.880001068115234,44.06499862670898,41.744998931884766,42.619998931884766,494221,22.31308123577913,-5.594184032963796,37.60200023651123,36.17740028381348,3.9378173708494746,-28.39175446104467,765961.05,0.6452299369530604,4.4568963144102005,2.1590977305193766,5.155438575581069,0.7403482549279901,-26.059319351318265,0.8528686935190763,20697976.00788498,41.88,24,3000.0,A,READY,2.5,1.227,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,53.64,MEDIUM,QUALIFIED SETUP,1,TIER 2,ALLOW ENTRY,30.0,100,0.0,True,APPROVED,RISK APPROVED,Risk acceptable,APPROVED TRADE,"High conviction setup, positive expected value, risk approved"
KOD,Healthcare,STRONG_BULL,0,40.87,3.0689,-0.92,1.97,13.53,54.34,-3.46,39.83,37.05,True,True,7.5,-4.3,1.31,996500.0,817675.9,8170648.45,0.51,3.84,2.93,7.16,0.65,-14.57,False,-5.52,False,40.87,36.56,57.07,65.86,2.0,20,20,10.37102199742198,65,5.86,17,694.79,0,15,13.0,100,0,7,78.0,60.48,1,model_v33,0,0,20,59.85,114.21686746987952,2.0,0,60.29,68.24,68.24,68.24,59.66,LOW,QUALITY,60.102,BUY,Strong momentum | Positive technical trend | High ML probability,,"KOD | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: No major strengths detected | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong technical ranking. Strong current ML confirmation. Positive risk/reward,"✓ Positive 20D momentum (+13.5%)
✓ Outperforming SPY (+10.4%)
✓ Above SMA20
✓ Above SMA50",['No major strengths detected'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.31,AVOID,LOW,57.9,PRIMARY WATCH,2,BUY,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 20
Trend: 20
Volume: 0
Relative Strength: 15
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,42.41999816894531,42.41999816894531,43.43000030517578,41.2400016784668,41.2400016784668,442392,10.757177582129284,3.6918573614474894,39.34299983978271,37.0111999130249,6.3002548748418405,-17.748455431934364,846529.6,0.5225948389755066,3.8330611567763295,3.130656257897264,7.380142369240233,0.7866549222659107,-11.3294355484014,0.6113648004747856,18766267.82995605,42.42,17,3000.0,A,READY,2.5,1.11,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,52.9,MEDIUM,QUALIFIED SETUP,2,TIER 2,ALLOW ENTRY,30.0,100,0.0,True,APPROVED,RISK APPROVED,Risk acceptable,APPROVED TRADE,"High conviction setup, positive expected value, risk approved"
REZI,Industrials,STRONG_BULL,0,34.19,9.3428,-7.54,10.15,7.28,52.97,0.37,33.33,31.67,True,True,5.26,-9.36,2.16,3202500.0,1871865.65,40966900.82,0.88,3.55,1.7,4.98,0.52,-24.51,False,-7.54,False,34.19,31.23,43.13,48.23,2.0,0,20,4.12102199742198,65,3.4,29,991.51,10,0,13.0,100,0,7,53.0,62.67,1,model_v33,0,0,20,62.84,69.39759036144578,2.0,0,62.72,59.45,52.17,52.17,54.89,LOW,WATCH,62.772000000000006,WATCHLIST,Positive technical trend | High ML probability,Weak momentum | Historical performance reduced confidence,"REZI | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Historical patterns support setup. Positive risk/reward,"✓ Above SMA20
✓ Above SMA50
✓ High volume (RVOL 2.16)",['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.79,AVOID,LOW,55.27,SECONDARY WATCH,3,AVOID,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average']","Momentum: 0
Trend: 20
Volume: 10
Relative Strength: 0
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,34.630001068115234,34.630001068115234,36.095001220703125,34.54999923706055,35.63999938964844,977277,6.783844410227569,-3.6627617890611774,33.03900032043457,31.843800163269044,3.7533213719389993,-17.29309748637545,1814663.85,0.5385443700771357,3.669285432786933,1.7917714970686802,5.174044013294623,0.5740293180788645,-23.53720386823266,1.0979749224629125,33843103.55384445,34.63,29,3000.0,A,READY,2.5,1.195,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,50.27,MEDIUM,QUALIFIED SETUP,3,TIER 2,ALLOW ENTRY,30.0,100,0.0,True,APPROVED,RISK APPROVED,Risk acceptable,APPROVED TRADE,"High conviction setup, positive expected value, risk approved"
META,Communication Services,STRONG_BULL,0,606.39,5.9749,-8.75,-3.97,8.74,46.36,-5.16,618.37,606.24,False,True,2.0,-10.93,2.13,40563100.0,19332996.9,5720160690.0,0.64,3.5,25.15,4.15,0.45,-23.84,False,-11.0,False,606.39,593.51,744.41,794.71,2.11,0,10,5.58102199742198,30,50.3,1,606.39,15,0,6.0,100,0,7,41.0,61.12,1,model_v33,0,0,20,60.43,50.60240963855422,2.11,0,60.91,53.71,46.43,46.43,51.0,LOW,WATCH,60.706,WATCHLIST,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"META | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Historical patterns support setup. Positive risk/reward,"✓ Above SMA50
✓ High volume (RVOL 2.13)",['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.43,AVOID,LOW,52.31,SECONDARY WATCH,4,AVOID,"['Strong risk/reward setup', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 10
Volume: 15
Relative Strength: 0
Setup Quality: 6.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,643.8099975585938,643.8099975585938,655.8800048828125,643.2000122070312,654.1300048828125,8401169,4.585915670591012,-0.5830942213363741,612.682992553711,605.7343957519531,1.1471359147654014,-16.787577020678015,19630023.45,0.4279754948535225,3.3286019648088216,24.76436774927953,3.8465335802781935,0.7102809290059596,-19.14474127992544,0.7714068115389847,5408756593.3793335,643.81,0,0.0,B,WATCH,2.0,0.827,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,47.31,LOW,WATCHLIST,4,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
CROX,Consumer Cyclical,STRONG_BULL,0,131.86,4.4443,-5.08,3.72,8.62,55.62,-7.85,129.23,120.97,True,True,6.82,-7.23,1.23,1502600.0,963206.75,43887623.3,0.61,2.89,4.64,3.52,0.63,-6.1,False,-5.08,False,131.86,126.0,153.84,163.12,2.0,0,20,5.4610219974219785,65,9.28,10,1318.6,0,0,13.0,100,0,7,43.0,59.78,1,model_v33,0,0,20,60.2,57.83132530120482,2.0,0,59.91,54.22,46.94,46.94,50.7,LOW,WATCH,60.032,WATCHLIST,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"CROX | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Historical patterns support setup. Positive risk/reward,"✓ Above SMA20
✓ Above SMA50",['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.23,AVOID,LOW,52.16,SECONDARY WATCH,5,AVOID,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 20
Volume: 0
Relative Strength: 0
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,135.27999877929688,135.27999877929688,136.1699981689453,133.77999877929688,134.86000061035156,548318,8.615010409176893,-0.1986169633272112,127.9495002746582,119.69300033569336,6.898064143942008,-6.139678397080539,1070040.9,0.5124271418036451,2.8302332293017662,4.789536470152881,3.540461645011389,0.7758395411583039,-3.660446842809584,0.8182898429396485,74176458.3706665,135.28,0,0.0,B,WATCH,2.0,0.797,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,47.16,LOW,WATCHLIST,5,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
JXN,Financial Services,STRONG_BULL,0,117.24,5.3886,-6.73,5.82,9.69,53.56,-15.46,114.53,110.37,True,True,3.77,-9.15,2.17,1414900.0,645593.2,41721494.6,0.74,2.47,3.7,3.15,0.62,-7.46,False,-6.73,False,117.24,116.82,139.02,146.42,1.81,0,20,6.531021997421979,65,7.4,12,1406.88,10,0,13.0,100,0,3,49.0,61.2,1,model_v33,0,0,20,62.14,63.6144578313253,1.81,0,61.48,52.4,45.12,45.12,52.78,LOW,WATCH,61.764,WATCHLIST,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"JXN | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Historical patterns support setup,"✓ Above SMA20
✓ Above SMA50
✓ High volume (RVOL 2.17)",['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.55,AVOID,LOW,52.0,SECONDARY WATCH,6,AVOID,"['Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 20
Volume: 10
Relative Strength: 0
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 3",QUALITY SETUP,70,2026-07-21,124.22000122070312,124.22000122070312,124.55500030517578,122.26000213623048,123.7300033569336,349753,13.671305461468064,1.4540866613057517,113.32000007629397,109.99879989624024,3.019305831687752,-11.680898273627172,649927.65,0.5381414377431087,2.202667160786847,3.486750863354533,2.806915817976513,0.9002825678375341,-1.949641781596368,0.854696057322688,43446318.08694458,124.22,0,0.0,B,WATCH,2.0,0.844,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,47.0,LOW,WATCHLIST,6,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
SEI,Energy,STRONG_BULL,0,60.72,4.8491,-1.09,-11.05,-20.08,39.34,-2.54,68.52,72.07,False,False,-4.93,3.93,1.57,3781500.0,3001429.85,72687731.3,0.71,4.8,4.98,8.2,0.16,-29.55,False,-24.53,False,60.72,55.21,85.09,95.05,2.74,0,0,-23.23897800257802,15,9.96,6,364.32,0,0,3.0,100,0,7,15.0,65.19,1,model_v33,0,0,20,65.25,14.457831325301203,2.74,0,65.21,45.35,38.07,38.07,48.36,LOW,REJECT,65.226,WATCH,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"SEI | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Historical patterns support setup. Positive risk/reward,✓ High volume (RVOL 1.57),['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,31.29,AVOID,LOW,50.53,SECONDARY WATCH,7,AVOID,['Strong risk/reward setup'],"Momentum: 0
Trend: 0
Volume: 0
Relative Strength: 0
Setup Quality: 3.0
Risk Adjustment: 5
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,65.16999816894531,65.16999816894531,66.66000366210938,60.98500061035156,63.20000076293945,2270352,-0.275440412209138,7.405375450097978,70.02749977111816,72.54839965820312,-3.4747835913151324,14.45859786861372,3029787.6,0.749343617354563,4.840242163104817,5.241302902553261,8.042508899518179,0.3392000610250634,-24.38798431030417,1.0022123002945815,147958835.68286133,65.17,0,0.0,B,WATCH,2.0,0.956,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,45.53,LOW,WATCHLIST,7,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
WHR,Consumer Cyclical,STRONG_BULL,0,35.62,7.5541,-10.7,-5.92,-5.92,38.63,-4.36,38.21,39.84,False,False,-4.1,-9.23,1.34,4092300.0,2348615.6,45925292.06,0.82,3.32,2.04,5.74,0.02,-64.55,False,-12.52,False,35.62,32.36,44.6,48.68,2.04,0,0,-9.07897800257802,15,4.08,16,569.92,0,0,3.0,100,0,7,13.0,65.79,1,model_v33,0,0,20,65.67,14.457831325301203,2.04,0,65.75,44.77,37.14,37.14,46.78,LOW,REJECT,65.718,WATCH,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"WHR | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",STRONG CANDIDATE,Strong current ML confirmation. Historical patterns support setup. Positive risk/reward,,['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,31.4,AVOID,LOW,50.49,SECONDARY WATCH,8,AVOID,['Strong risk/reward setup'],"Momentum: 0
Trend: 0
Volume: 0
Relative Strength: 0
Setup Quality: 3.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,36.43999862670898,36.43999862670898,37.20000076293945,36.13999938964844,36.65999984741211,1665033,-1.8318974265694064,-1.3107814290904187,38.27149982452392,40.10519981384277,-4.572225042713611,-5.362503604340152,2401966.65,0.6931957194326575,3.3469375685168563,2.125322922973948,5.832390238939736,0.0735042969124427,-63.73768593755042,0.8011379342007101,60673800.233425125,36.44,0,0.0,B,WATCH,2.0,0.972,Good technical setup with positive ranking,model_v27,96.1,Champion,45.49,LOW,WATCHLIST,8,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
CCI,Real Estate,STRONG_BULL,0,74.72,3.8863,-5.09,-2.55,-9.03,35.57,-5.65,77.89,84.99,False,False,-8.35,-2.83,1.29,5364200.0,4130186.5,295337853.22,0.89,2.46,2.5,3.35,0.11,-35.45,False,-9.56,False,74.72,71.2,86.2,91.2,2.61,0,0,-12.18897800257802,15,5.0,13,971.36,5,0,3.0,100,0,7,20.0,62.38,1,model_v33,0,0,20,63.01,20.24096385542169,2.61,0,62.57,46.24,38.96,38.96,47.77,LOW,WATCH,62.758,WATCH,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"CCI | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: ML historical confirmation | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Historical patterns support setup. Positive risk/reward,,['ML historical confirmation'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,30.76,AVOID,LOW,49.93,SECONDARY WATCH,9,AVOID,['Strong risk/reward setup'],"Momentum: 0
Trend: 0
Volume: 5
Relative Strength: 0
Setup Quality: 3.0
Risk Adjustment: 5
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,76.19999694824219,76.19999694824219,78.0999984741211,76.05999755859375,77.86499786376953,3038616,-1.3209068328627116,-4.327010665949373,78.60650024414062,85.57119995117188,-8.139069816720362,4.719998826661054,4199350.8,0.7235918466254355,2.3936624475640005,2.4161418250519,3.1707899236440005,0.2231326228780318,-34.17415727189835,0.7893942082666684,231542529.92687988,76.2,0,0.0,B,WATCH,2.0,0.877,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,44.93,LOW,WATCHLIST,9,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
VMC,Basic Materials,STRONG_BULL,0,274.73,2.2582,-6.39,-4.85,-10.6,38.05,-1.95,293.11,285.57,False,False,2.64,-3.74,1.22,1493000.0,1042477.85,110127448.01,0.78,1.86,8.73,3.18,0.05,-17.02,False,-12.22,False,274.73,259.29,311.67,329.13,3.55,0,0,-13.75897800257802,15,17.46,3,824.19,5,0,3.0,100,0,10,23.0,56.67,1,model_v33,0,0,20,58.91,24.57831325301205,3.55,0,57.34,50.32,43.04,43.04,47.3,LOW,WATCH,58.014,WATCHLIST,High ML probability,Weak momentum | Weak technical structure | Historical performance reduced confidence,"VMC | Decision: None | Analyst Score: 0.0 | Rating: AVOID | Confidence: LOW | Strengths: No major strengths detected | Risks: Higher portfolio risk, Low conviction score",HIGH CONVICTION,Strong current ML confirmation. Positive risk/reward,,['No major strengths detected'],"['Higher portfolio risk', 'Low conviction score']",Avoid current setup,29.72,AVOID,LOW,49.66,SECONDARY WATCH,10,AVOID,['Strong risk/reward setup'],"Momentum: 0
Trend: 0
Volume: 5
Relative Strength: 0
Setup Quality: 3.0
Risk Adjustment: 5
Risk/Reward: 10",QUALITY SETUP,70,2026-07-21,276.75,276.75,282.5199890136719,274.8550109863281,281.54998779296875,744692,-7.719237868499251,-2.315374183970718,295.8005004882813,285.8515997314453,3.480442567466087,3.89357014062932,1102474.6,0.6754731582931706,2.004698960955674,9.343645715531837,3.376204413922976,0.0409240754434457,-16.412454903178187,0.7213031483899947,206093511.0,276.75,0,0.0,B,WATCH,2.0,0.72,"Strong technical setup, AI score confirmation, ML probability support",model_v27,96.1,Champion,44.66,LOW,WATCHLIST,10,TIER 3,WATCH ENTRY,15.0,100,0.0,False,WATCH,WATCH RISK,Risk acceptable,WATCHLIST,Promising setup but requires additional confirmation
