Symbol,Sector,Market_Regime,Market_Regime_Score,Price,Change_%,Return_5D,Return_10D,Return_20D,RSI,RSI_Change,SMA20,SMA50,Above_SMA20,Above_SMA50,SMA_Gap,Momentum_Acceleration,RVOL,Volume,Average_Volume,Dollar_Volume,Volume_Trend,Volatility_20D,ATR,ATR_Percent,Range_Position,Distance_From_52W_High,Breakout,Distance_From_High_%,Overextended,Entry,Stop_Loss,Target_1,Target_2,Risk_Reward,Momentum_Score,Trend_Score,Relative_Strength,Setup_Quality,Risk_Per_Share,Shares,Capital_Required,Volume_Score,Relative_Strength_Score,Setup_Score,Risk_Score,Market_Regime_Adjustment,Risk_Reward_Score,Rank_Score,ML_Probability,ML_Prediction,ML_Model,ML_Accuracy,ML_F1,ML_Features,Historical_ML_Probability,Research_Score,Risk_Adjustment,Risk_Penalty,Combined_ML_Probability,AI_Final_Score,AI_Learned_Score,AI_Final_Score_Adjusted,AI_Confidence,AI_Confidence_Level,Trade_Quality,Combined_ML_Strength,AI_Decision,AI_Decision_Reason,Portfolio_Score,Portfolio_Category,Portfolio_Rank,AI_Rating,AI_Positive_Factors,AI_Negative_Factors,AI_Summary,Trade_Reason,Strengths,Risks,AI_Action,AI_Analyst_Score,AI_Analyst_Rating,AI_Analyst_Confidence,Signal,Signal_Explanation,Score_Breakdown,Strategy,Confidence_Score,Date,Adjusted_Close,Close,High,Low,Open,Volume_feature,Return_10D_feature,RSI_Change_feature,SMA20_feature,SMA50_feature,SMA_Gap_feature,Momentum_Acceleration_feature,Average_Volume_feature,RVOL_feature,Volatility_20D_feature,ATR_feature,ATR_Percent_feature,Range_Position_feature,Distance_From_52W_High_feature,Volume_Trend_feature,Dollar_Volume_feature,Trade_Score,Trade_Grade,Reward_Risk,Expected_Value,Recommended_Shares,AI_Reason,Model_Name,Model_F1,Model_Status,Final_Conviction_Score,Final_Conviction_Rating,Final_Action,Conviction_Rank,Conviction_Tier,Portfolio_Action,Portfolio_Allocation_%,Market_Exposure_%,Portfolio_Risk_$,Portfolio_Approved,Portfolio_Status,Risk_Level,Risk_Grade,Risk_Percentage,Trade_Status,Final_Trade_Decision,Strategy_Weight,Strategy_Adjustment,Strategy_Adjusted_Score,Strategy_Intelligence_Status,Strategy_Rank,Adaptive_Strategy_Weight,Adaptive_Strategy_Boost,Adaptive_Final_Score,Adaptive_Rank,Adaptive_Action,Strategy_AI_Score,Selected_Strategy_Action,Strategy_AI_Reason,Strategy_AI_Rank,Portfolio_Risk
CNMD,Healthcare,STRONG_BULL,0,41.26,4.8787,-8.34,12.44,16.54,58.32,-2.69,38.3,36.4,True,True,5.23,-12.48,2.51,1436300.0,762484.85,10689047.01,0.69,4.39,2.06,4.99,0.69,-27.16,False,-8.34,False,41.26,40.02,43.74,45.39,2.0,20,20,17.374265080408136,65,1.24,60,1650.4,10,15,13.0,3,0,7,88.0,9.05,0,model_v27,98.3,96.1,13,62.66,120.0,2.0,0,25.13,64.01,64.01,64.01,42.15,LOW,QUALITY,41.216,HIGH CONVICTION,Strong technical ranking. Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,69.02600000000001,SECONDARY WATCH,1,WATCHLIST,Strong momentum | Positive technical trend,Low ML probability,"CNMD | Decision: WATCH | Analyst Score: 62.4 | Rating: WATCHLIST | Confidence: MEDIUM | Strengths: Strong reward/risk profile, Controlled risk profile, ML historical confirmation | Risks: Negative expected value, Risk engine did not approve entry","Price above SMA20 trend, Price above SMA50 trend, High relative volume, Strong reward/risk ratio","['Strong reward/risk profile', 'Controlled risk profile', 'ML historical confirmation']","['Negative expected value', 'Risk engine did not approve entry']",Monitor for confirmation,62.38,WATCHLIST,MEDIUM,BUY,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 20
Trend: 20
Volume: 10
Relative Strength: 15
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,41.880001068115234,41.880001068115234,44.06499862670898,41.744998931884766,42.619998931884766,494221,22.31308123577913,-5.594184032963796,37.60200023651123,36.17740028381348,3.9378173708494746,-28.39175446104467,765961.05,0.6452299369530604,4.4568963144102005,2.1590977305193766,5.155438575581069,0.7403482549279901,-26.059319351318265,0.8528686935190763,20697976.00788498,37.48,B,2.0000000000000115,-0.3051639999999953,40,"Strong technical setup, high AI ranking, ML confirmation",model_v27,96.1,Champion,47.38,LOW,WATCHLIST,2,TIER 3,WATCH,15,100,49.6,False,MONITOR,MODERATE,B,1.5,NOT APPROVED,WATCH,0.456,4.5600000000000005,68.57000000000001,LEARNED,1,0.456,4.5600000000000005,73.13000000000001,1,WATCH,33.347280000000005,MONITOR,High adaptive ranking score,1,MEDIUM
KOD,Healthcare,STRONG_BULL,0,40.87,3.0689,-0.92,1.97,13.53,54.34,-3.46,39.83,37.05,True,True,7.5,-4.3,1.31,996500.0,817675.9,8170648.45,0.51,3.84,2.93,7.16,0.65,-14.57,False,-5.52,False,40.87,39.64,43.32,44.96,2.0,20,20,14.364265080408137,65,1.23,60,1634.8,0,15,13.0,3,0,7,78.0,30.41,0,model_v27,98.3,96.1,13,59.85,108.96551724137932,2.0,0,39.24,62.98,62.98,62.98,47.63,LOW,QUALITY,48.074,HIGH CONVICTION,Strong technical ranking. Weak current ML confirmation. Positive risk/reward,67.996,SECONDARY WATCH,2,BUY,Strong momentum | Positive technical trend,Low ML probability,"KOD | Decision: APPROVED TRADE | Analyst Score: 82.9 | Rating: BUY CANDIDATE | Confidence: HIGH | Strengths: High conviction score, Positive expected value, Controlled risk profile | Risks: No major risks identified","Price above SMA20 trend, Price above SMA50 trend, Positive expected value","['High conviction score', 'Positive expected value', 'Controlled risk profile']",['No major risks identified'],Execute candidate trade with risk controls,82.87,BUY CANDIDATE,HIGH,BUY,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 20
Trend: 20
Volume: 0
Relative Strength: 15
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,42.41999816894531,42.41999816894531,43.43000030517578,41.2400016784668,41.2400016784668,442392,10.757177582129284,3.6918573614474894,39.34299983978271,37.0111999130249,6.3002548748418405,-17.748455431934364,846529.6,0.5225948389755066,3.8330611567763295,3.130656257897264,7.380142369240233,0.7866549222659107,-11.3294355484014,0.6113648004747856,18766267.82995605,45.59,A,1.9918699186991944,0.2140320000000032,40,"Strong technical setup, high AI ranking, ML confirmation",model_v27,96.1,Champion,52.87,MEDIUM,QUALIFIED SETUP,1,TIER 2,WATCH,14,100,49.2,True,MONITOR,MODERATE,B,1.99,RISK APPROVED,APPROVED TRADE,0.456,4.5600000000000005,67.53999999999999,LEARNED,2,0.456,4.5600000000000005,72.1,2,WATCH,32.8776,MONITOR,High adaptive ranking score,2,MEDIUM
JXN,Financial Services,STRONG_BULL,0,117.24,5.3886,-6.73,5.82,9.69,53.56,-15.46,114.53,110.37,True,True,3.77,-9.15,2.17,1414900.0,645593.2,41721494.6,0.74,2.47,3.7,3.15,0.62,-7.46,False,-6.73,False,117.24,113.72,124.27,128.96,2.0,0,20,10.524265080408137,65,3.52,21,1641.36,10,15,13.0,3,0,7,68.0,11.95,0,model_v27,98.3,96.1,13,62.14,86.89655172413794,2.0,0,27.01,56.38,49.1,49.1,38.21,VERY LOW,QUALITY,42.064,HIGH CONVICTION,Strong technical ranking. Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,54.116,MONITOR,3,WATCHLIST,Positive technical trend,Weak momentum | Low ML probability | Historical performance reduced confidence,"JXN | Decision: WATCH | Analyst Score: 47.4 | Rating: WEAK | Confidence: MEDIUM | Strengths: Controlled risk profile, ML historical confirmation | Risks: Negative expected value, Risk engine did not approve entry","Price above SMA20 trend, Price above SMA50 trend, High relative volume","['Controlled risk profile', 'ML historical confirmation']","['Negative expected value', 'Risk engine did not approve entry']",Monitor for confirmation,47.41,WEAK,MEDIUM,WATCH,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 20
Volume: 10
Relative Strength: 15
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,124.22000122070312,124.22000122070312,124.55500030517578,122.26000213623048,123.7300033569336,349753,13.671305461468064,1.4540866613057517,113.32000007629397,109.99879989624024,3.019305831687752,-11.680898273627172,649927.65,0.5381414377431087,2.202667160786847,3.486750863354533,2.806915817976513,0.9002825678375341,-1.949641781596368,0.854696057322688,43446318.08694458,35.93,B,1.9971590909090933,-0.6704449999999964,14,"Strong technical setup, high AI ranking, ML confirmation",model_v27,96.1,Champion,42.41,LOW,WATCHLIST,4,TIER 3,REJECT,13,100,49.28,False,REJECTED,MODERATE,B,1.49,NOT APPROVED,WATCH,0.456,4.5600000000000005,53.66,LEARNED,3,0.456,4.5600000000000005,58.22,3,PASS,26.54832,MONITOR,Insufficient strategy confidence,3,MEDIUM
REZI,Industrials,STRONG_BULL,0,34.19,9.3428,-7.54,10.15,7.28,52.97,0.37,33.33,31.67,True,True,5.26,-9.36,2.16,3202500.0,1871865.65,40966900.82,0.88,3.55,1.7,4.98,0.52,-24.51,False,-7.54,False,34.19,33.16,36.24,37.61,2.0,0,20,8.114265080408138,65,1.03,72,1641.12,10,0,13.0,3,0,7,53.0,16.3,0,model_v27,98.3,96.1,13,62.84,66.20689655172414,2.0,0,30.26,51.33,44.05,44.05,36.34,VERY LOW,WATCH,44.224,HIGH CONVICTION,Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,49.065999999999995,MONITOR,4,WATCHLIST,Positive technical trend,Weak momentum | Low ML probability | Historical performance reduced confidence,"REZI | Decision: WATCH | Analyst Score: 47.8 | Rating: WEAK | Confidence: MEDIUM | Strengths: Controlled risk profile, ML historical confirmation | Risks: Negative expected value, Risk engine did not approve entry","Price above SMA20 trend, Price above SMA50 trend, High relative volume","['Controlled risk profile', 'ML historical confirmation']","['Negative expected value', 'Risk engine did not approve entry']",Monitor for confirmation,47.84,WEAK,MEDIUM,AVOID,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 20
Volume: 10
Relative Strength: 0
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,34.630001068115234,34.630001068115234,36.095001220703125,34.54999923706055,35.63999938964844,977277,6.783844410227569,-3.6627617890611774,33.03900032043457,31.843800163269044,3.7533213719389993,-17.29309748637545,1814663.85,0.5385443700771357,3.669285432786933,1.7917714970686802,5.174044013294623,0.5740293180788645,-23.53720386823266,1.0979749224629125,33843103.55384445,36.12,B,1.9902912621359243,-0.0979919999999994,48,"Strong technical setup, high AI ranking, ML confirmation",model_v27,96.1,Champion,42.84,LOW,WATCHLIST,3,TIER 3,REJECT,12,100,49.44,False,REJECTED,MODERATE,B,1.49,NOT APPROVED,WATCH,0.456,4.5600000000000005,48.61,LEARNED,4,0.456,4.5600000000000005,53.17,4,PASS,24.245520000000003,MONITOR,Insufficient strategy confidence,4,MEDIUM
META,Communication Services,STRONG_BULL,0,606.39,5.9749,-8.75,-3.97,8.74,46.36,-5.16,618.37,606.24,False,True,2.0,-10.93,2.13,40563100.0,19332996.9,5720160690.0,0.64,3.5,25.15,4.15,0.45,-23.84,False,-11.0,False,606.39,588.2,642.77,667.03,2.0,0,10,9.574265080408138,30,18.19,2,1212.78,15,0,6.0,3,0,7,41.0,19.71,0,model_v27,98.3,96.1,13,60.43,48.27586206896552,2.0,0,31.93,46.47,39.19,39.19,34.22,VERY LOW,WATCH,44.142,HIGH CONVICTION,Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,44.205999999999996,MONITOR,5,WATCH,,Weak momentum | Weak technical structure | Low ML probability | Historical performance reduced confidence,"META | Decision: WATCH | Analyst Score: 55.8 | Rating: WEAK | Confidence: MEDIUM | Strengths: Strong reward/risk profile, Controlled risk profile, ML historical confirmation | Risks: Negative expected value, Risk engine did not approve entry","Price above SMA50 trend, High relative volume, Strong reward/risk ratio","['Strong reward/risk profile', 'Controlled risk profile', 'ML historical confirmation']","['Negative expected value', 'Risk engine did not approve entry']",Monitor for confirmation,55.83,WEAK,MEDIUM,AVOID,"['Strong risk/reward setup', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 10
Volume: 15
Relative Strength: 0
Setup Quality: 6.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,643.8099975585938,643.8099975585938,655.8800048828125,643.2000122070312,654.1300048828125,8401169,4.585915670591012,-0.5830942213363741,612.682992553711,605.7343957519531,1.1471359147654014,-16.787577020678015,19630023.45,0.4279754948535225,3.3286019648088216,24.76436774927953,3.8465335802781935,0.7102809290059596,-19.14474127992544,0.7714068115389847,5408756593.3793335,35.41,B,2.000000000000006,-0.7657989999999639,2,"Strong technical setup, high AI ranking, ML confirmation",model_v27,96.1,Champion,40.83,LOW,WATCHLIST,7,TIER 3,REJECT,11,100,36.38,False,REJECTED,MODERATE,B,1.36,NOT APPROVED,WATCH,0.456,4.5600000000000005,43.75,LEARNED,5,0.456,4.5600000000000005,48.31,5,PASS,22.02936,MONITOR,Insufficient strategy confidence,5,MEDIUM
CROX,Consumer Cyclical,STRONG_BULL,0,131.86,4.4443,-5.08,3.72,8.62,55.62,-7.85,129.23,120.97,True,True,6.82,-7.23,1.23,1502600.0,963206.75,43887623.3,0.61,2.89,4.64,3.52,0.63,-6.1,False,-5.08,False,131.86,127.9,139.77,145.05,2.0,0,20,9.454265080408137,65,3.96,18,1582.32,0,0,13.0,3,0,7,43.0,12.03,0,model_v27,98.3,96.1,13,60.2,55.172413793103445,2.0,0,26.48,45.86,38.58,38.58,31.6,VERY LOW,WATCH,40.932,HIGH CONVICTION,Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,43.596000000000004,MONITOR,6,WATCH,,Weak momentum | Weak technical structure | Low ML probability | Historical performance reduced confidence,"CROX | Decision: NO TRADE | Analyst Score: 26.9 | Rating: AVOID | Confidence: LOW | Strengths: Controlled risk profile, ML historical confirmation | Risks: Negative expected value, Low conviction score, Risk engine did not approve entry","Price above SMA20 trend, Price above SMA50 trend","['Controlled risk profile', 'ML historical confirmation']","['Negative expected value', 'Low conviction score', 'Risk engine did not approve entry']",Avoid current setup,26.88,AVOID,LOW,AVOID,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 20
Volume: 0
Relative Strength: 0
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,135.27999877929688,135.27999877929688,136.1699981689453,133.77999877929688,134.86000061035156,548318,8.615010409176893,-0.1986169633272112,127.9495002746582,119.69300033569336,6.898064143942008,-6.139678397080539,1070040.9,0.5124271418036451,2.8302332293017662,4.789536470152881,3.540461645011389,0.7758395411583039,-3.660446842809584,0.8182898429396485,74176458.3706665,31.93,C,1.9974747474747423,-0.8168240000000071,12,"Strong technical setup, high AI ranking, ML confirmation",model_v27,96.1,Champion,36.88,LOW,WATCHLIST,12,TIER 3,REJECT,10,100,47.52,False,REJECTED,MODERATE,B,1.48,NOT APPROVED,NO TRADE,0.456,4.5600000000000005,43.14,LEARNED,6,0.456,4.5600000000000005,47.7,6,PASS,21.7512,MONITOR,Insufficient strategy confidence,6,MEDIUM
CRCL,Financial Services,STRONG_BULL,0,63.18,4.9675,-4.5,-3.82,0.88,42.82,-1.17,64.35,79.57,False,False,-19.13,-4.72,2.29,36672200.0,13073404.6,272791781.88,0.61,4.99,5.3,8.4,0.32,-67.32,False,-11.11,False,63.18,61.28,66.97,69.5,2.0,0,0,1.714265080408138,15,1.9,26,1642.68,15,0,3.0,3,0,7,28.0,20.77,0,model_v27,98.3,96.1,13,65.9,30.3448275862069,2.0,0,34.31,42.96,35.33,35.33,32.49,VERY LOW,WATCH,47.848,STRONG CANDIDATE,Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,40.346,MONITOR,7,WATCH,,Weak momentum | Weak technical structure | Low ML probability | Historical performance reduced confidence,"CRCL | Decision: WATCH | Analyst Score: 61.0 | Rating: WATCHLIST | Confidence: MEDIUM | Strengths: Positive expected value, Controlled risk profile, ML historical confirmation | Risks: Risk engine did not approve entry","High relative volume, Positive expected value","['Positive expected value', 'Controlled risk profile', 'ML historical confirmation']",['Risk engine did not approve entry'],Monitor for confirmation,60.98,WATCHLIST,MEDIUM,AVOID,['Strong risk/reward setup'],"Momentum: 0
Trend: 0
Volume: 15
Relative Strength: 0
Setup Quality: 3.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-23,63.31499862670898,63.31499862670898,65.41000366210938,61.4900016784668,65.0,6651230,0.4840506479930173,-2.577369999739176,65.67875022888184,84.24169982910156,-22.035345485522942,15.210101191124414,15041676.5,0.4421867469360879,6.462448961694181,5.89045976273958,9.303419237941403,0.2653118487502114,-68.73333401150174,0.7742412223796995,421122618.3159256,35.62,B,1.9947368421052645,0.0522390000000005,26,"Strong technical setup, high ranking",model_v27,96.1,Champion,40.98,LOW,WATCHLIST,6,TIER 3,REJECT,9,100,49.4,False,REJECTED,LOW,A,0.49,NOT APPROVED,WATCH,0.456,4.5600000000000005,39.89,LEARNED,7,0.456,4.5600000000000005,44.45,7,PASS,20.2692,MONITOR,Insufficient strategy confidence,7,LOW
CAKE,Consumer Cyclical,STRONG_BULL,0,84.24,5.5343,1.12,7.42,7.77,63.59,-5.21,81.22,72.65,True,True,11.79,-0.82,1.75,2293500.0,1406763.35,73125962.23,1.09,2.11,2.71,3.22,0.7,-4.16,False,-3.25,False,84.24,81.71,89.29,92.66,2.0,0,20,8.604265080408137,65,2.53,29,1600.56,0,0,13.0,3,0,7,43.0,2.57,0,model_v27,98.3,96.1,13,54.97,55.172413793103445,2.0,0,18.29,42.77,35.14,35.14,26.77,VERY LOW,WATCH,34.01,STRONG CANDIDATE,Weak current ML confirmation. Positive risk/reward,40.156000000000006,MONITOR,8,WATCH,,Weak momentum | Weak technical structure | Low ML probability | Historical performance reduced confidence,"CAKE | Decision: NO TRADE | Analyst Score: 6.5 | Rating: AVOID | Confidence: LOW | Strengths: No major strengths detected | Risks: Higher portfolio risk, Negative expected value, Low conviction score, Risk engine did not approve entry","Price above SMA20 trend, Price above SMA50 trend, High relative volume",['No major strengths detected'],"['Higher portfolio risk', 'Negative expected value', 'Low conviction score', 'Risk engine did not approve entry']",Avoid current setup,6.53,AVOID,LOW,AVOID,"['Strong risk/reward setup', 'Price above 20-day moving average', 'Price above 50-day moving average', 'Outperforming the market']","Momentum: 0
Trend: 20
Volume: 0
Relative Strength: 0
Setup Quality: 13.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,87.06999969482422,87.06999969482422,87.68000030517578,85.26750183105469,86.11000061035156,1346606,12.001546292044484,1.3779680748235703,80.48649940490722,71.71119964599609,12.237000360097992,-4.968075543434903,1355515.3,0.9934273703882206,2.007912549580288,2.8085821435019525,3.225659990060739,0.9326843708194577,-0.944256901759355,1.0320216968410465,117248984.00904846,25.93,C,1.996047430830043,-1.1436179999999991,19,"Strong technical setup, high ranking",model_v27,96.1,Champion,31.53,VERY LOW,NO EDGE,15,TIER 4,REJECT,8,100,48.07,False,REJECTED,HIGH,C,2.48,NOT APPROVED,NO TRADE,0.456,4.5600000000000005,39.7,LEARNED,8,0.456,4.5600000000000005,44.260000000000005,8,PASS,20.18256,MONITOR,Insufficient strategy confidence,8,HIGH
EPAC,Industrials,STRONG_BULL,0,34.24,3.9964,-3.52,1.36,-5.96,46.87,-1.87,35.01,34.67,False,False,0.96,-2.03,2.34,1194400.0,693414.15,6450234.24,0.58,2.98,1.22,3.56,0.28,-23.91,False,-7.63,False,34.24,33.21,36.29,37.66,2.0,0,0,-5.125734919591862,15,1.03,48,1643.52,10,0,3.0,3,0,7,23.0,22.03,0,model_v27,98.3,96.1,13,60.06,24.82758620689655,2.0,0,33.44,39.57,31.94,31.94,30.57,VERY LOW,WATCH,44.848,WATCHLIST,Weak current ML confirmation. Historical patterns support setup. Positive risk/reward,36.956,MONITOR,9,WATCH,,Weak momentum | Weak technical structure | Low ML probability | Historical performance reduced confidence,"EPAC | Decision: WATCH | Analyst Score: 43.9 | Rating: WEAK | Confidence: MEDIUM | Strengths: Controlled risk profile, ML historical confirmation | Risks: Negative expected value, Low conviction score, Risk engine did not approve entry",High relative volume,"['Controlled risk profile', 'ML historical confirmation']","['Negative expected value', 'Low conviction score', 'Risk engine did not approve entry']",Monitor for confirmation,43.89,WEAK,MEDIUM,AVOID,['Strong risk/reward setup'],"Momentum: 0
Trend: 0
Volume: 10
Relative Strength: 0
Setup Quality: 3.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,33.93000030517578,33.93000030517578,34.56999969482422,33.650001525878906,34.11000061035156,281993,-1.107551888386249,-0.0874825695496284,35.15200023651123,34.70680023193359,1.282745748967112,5.652379699509602,698019.65,0.4039900595921619,3.046939979392854,1.2953154097705204,3.81761095820836,0.2157994659422415,-24.5999993218316,0.6419569993480841,9568022.576057434,33.91,C,1.9902912621359168,-4.800000000171334e-05,48,Positive setup but requires confirmation,model_v27,96.1,Champion,38.89,LOW,WATCHLIST,9,TIER 3,REJECT,7,100,49.44,False,REJECTED,MODERATE,B,1.49,NOT APPROVED,WATCH,0.456,4.5600000000000005,36.5,LEARNED,9,0.456,4.5600000000000005,41.06,9,PASS,18.723360000000003,REJECT,Insufficient strategy confidence,9,MEDIUM
CINF,Financial Services,STRONG_BULL,0,178.94,2.1946,1.5,2.0,0.27,51.58,-0.41,181.93,172.47,False,True,5.48,1.43,1.27,1007100.0,905502.15,37048274.93,0.83,2.2,4.17,2.33,0.3,-8.15,False,-6.82,False,178.94,173.57,189.68,196.83,2.0,0,10,1.104265080408138,50,5.37,9,1610.46,0,0,10.0,3,0,7,30.0,18.98,0,model_v27,98.3,96.1,13,48.12,37.241379310344826,2.0,0,27.72,38.55,30.92,30.92,28.72,VERY LOW,WATCH,36.464,WATCHLIST,Weak current ML confirmation. Positive risk/reward,35.93600000000001,MONITOR,10,WATCH,,Weak momentum | Weak technical structure | Low ML probability | Historical performance reduced confidence,"CINF | Decision: NO TRADE | Analyst Score: 35.0 | Rating: AVOID | Confidence: LOW | Strengths: Strong reward/risk profile, Controlled risk profile | Risks: Negative expected value, Low conviction score, Risk engine did not approve entry","Price above SMA50 trend, Positive momentum acceleration, Strong reward/risk ratio","['Strong reward/risk profile', 'Controlled risk profile']","['Negative expected value', 'Low conviction score', 'Risk engine did not approve entry']",Avoid current setup,35.0,AVOID,LOW,AVOID,"['Strong risk/reward setup', 'Price above 50-day moving average']","Momentum: 0
Trend: 10
Volume: 0
Relative Strength: 0
Setup Quality: 10.0
Risk Adjustment: 3
Risk/Reward: 7",QUALITY SETUP,70,2026-07-21,180.509994506836,180.509994506836,180.5200042724609,177.3300018310547,179.57000732421875,549885,-4.522375522144984,0.171511806376813,181.7309982299805,171.8001986694336,5.780435434568406,-4.401121925117724,950544.25,0.5784948991064855,2.2460756120884984,4.420864536549393,2.449096820720348,0.3833548276724279,-7.340487259878281,1.0605471549588563,99259738.32939152,30.12,C,2.0,-0.9043080000000008,9,Positive setup but requires confirmation,model_v27,96.1,Champion,35.0,LOW,WATCHLIST,14,TIER 3,REJECT,6,100,48.33,False,REJECTED,MODERATE,B,1.48,NOT APPROVED,NO TRADE,0.456,4.5600000000000005,35.480000000000004,LEARNED,10,0.456,4.5600000000000005,40.040000000000006,10,PASS,18.258240000000004,REJECT,Insufficient strategy confidence,10,MEDIUM
