Symbol,Entry,Exit,Return_%,Highest,Lowest,Target_1,Target_2,Stop,Result,Sector,Signal,Rank_Score,Momentum_Score,Trend_Score,Relative_Strength,Risk_Reward,RSI,Return_5D,Return_20D,Distance_From_High_%,Above_SMA20,Above_SMA50,Breakout,Overextended,Test_Date,Strategy,Rank_Percentile,Momentum_Percentile,Trend_Percentile,Relative_Strength_Percentile,Risk_Reward_Capped,RiskReward_Percentile,Strategy_Score,Research_Score
BB,10.75,10.75,0.0,11.66,10.33,13.59,16.14,10.14,OPEN,Technology,BUY,88.0,20,20,15.221553963030754,4.62,55.59,-5.53,15.72,-16.08,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,99.26470588235294,44.11764705882353,52.20588235294118,50.73529411764706,4.62,94.11764705882352,90,72.53
LIND,26.29,25.35,-3.58,26.8,24.79,30.0,33.39,25.35,STOP HIT,Consumer Cyclical,BUY,88.0,25,20,13.161553963030752,3.96,57.45,3.18,13.66,-11.09,True,True,False,False,2026-07-16_11-42,QUALITY SETUP,99.26470588235294,94.11764705882352,52.20588235294118,29.411764705882355,3.96,80.88235294117648,80,72.78
RIVN,17.2,16.17,-5.99,18.79,15.43,20.2,24.13,16.17,STOP HIT,Consumer Cyclical,BUY,85.0,20,20,10.181553963030751,2.9,52.5,-14.6,10.68,-14.6,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,96.32352941176471,44.11764705882353,52.20588235294118,2.2058823529411766,2.9,52.20588235294118,90,55.8
HIMS,34.54,34.54,0.0,38.59,33.18,39.05,46.36,32.93,OPEN,Healthcare,BUY,85.0,20,20,19.141553963030752,2.8,56.16,-9.77,19.64,-9.77,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,96.32352941176471,44.11764705882353,52.20588235294118,69.11764705882352,2.8,39.705882352941174,90,67.31
CTRN,58.54,55.83,-4.63,59.11,54.94,66.38,76.62,55.83,STOP HIT,Consumer Cyclical,BUY,84.0,25,20,21.551553963030752,2.89,58.64,5.91,22.05,-7.93,True,True,False,False,2026-07-16_11-42,QUALITY SETUP,94.11764705882352,94.11764705882352,52.20588235294118,80.88235294117648,2.89,50.0,80,77.15
NNBR,3.38,3.38,0.15,3.72,3.29,4.44,5.51,3.1,OPEN,Industrials,BUY,83.0,20,20,13.091553963030751,3.75,55.01,-8.51,13.59,-15.16,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,26.47058823529412,3.75,77.20588235294117,90,59.62
MYE,30.59,30.59,0.0,31.42,29.67,35.75,39.69,29.03,OPEN,Consumer Cyclical,BUY,83.0,20,20,15.151553963030754,3.31,57.75,-0.03,15.65,-13.37,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION,77.20588235294117,44.11764705882353,52.20588235294118,48.529411764705884,3.31,69.11764705882352,85,62.32
ALT,2.95,2.95,0.17,3.15,2.93,3.4,3.89,2.83,OPEN,Healthcare,BUY,83.0,20,20,13.591553963030751,3.7,50.03,-4.06,14.09,-6.49,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,33.82352941176471,3.7,75.0,90,60.76
BH,383.2,369.08,-3.68,426.0,361.02,443.0,507.42,369.08,STOP HIT,Consumer Cyclical,BUY,83.0,20,20,13.701553963030753,4.23,55.71,-9.67,14.2,-12.38,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,37.5,4.23,88.23529411764706,90,63.49
JBLU,5.68,5.49,-3.35,6.14,5.39,6.27,7.26,5.49,STOP HIT,Industrials,BUY,83.0,20,20,13.561553963030754,3.07,52.87,-6.27,14.06,-6.27,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,32.35294117647059,3.07,58.08823529411765,90,57.93
NUVB,5.7,5.7,0.09,6.28,5.48,6.6,7.77,5.48,OPEN,Healthcare,BUY,83.0,20,20,19.35155396303076,4.07,54.19,1.88,19.85,-11.69,True,True,False,False,2026-07-16_11-42,QUALITY SETUP,77.20588235294117,44.11764705882353,52.20588235294118,70.58823529411765,4.07,83.82352941176471,80,68.44
AMCI,5.05,5.05,0.0,6.05,4.94,6.69,8.43,4.61,OPEN,Technology,BUY,83.0,20,20,10.611553963030753,3.75,51.34,-16.53,11.11,-16.53,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,5.88235294117647,3.75,77.20588235294117,90,55.51
DGICB,22.9,25.5,11.35,25.5,22.9,25.5,29.1,21.19,TARGET 1 HIT,Financial Services,BUY,83.0,25,20,19.08155396303075,1.52,55.38,5.14,19.58,-4.58,True,True,False,False,2026-07-16_11-42,MOMENTUM,77.20588235294117,94.11764705882352,52.20588235294118,66.17647058823529,1.52,2.941176470588235,75,62.43
DIBS,4.76,4.76,0.0,4.87,4.54,5.67,6.57,4.47,OPEN,Communication Services,BUY,83.0,20,20,15.601553963030756,3.19,52.83,0.85,16.1,-12.5,True,True,False,False,2026-07-16_11-42,QUALITY SETUP,77.20588235294117,44.11764705882353,52.20588235294118,52.94117647058824,3.19,63.23529411764706,80,61.82
BCRX,9.87,11.22,13.68,11.22,9.86,11.22,12.83,9.47,TARGET 1 HIT,Healthcare,BUY,83.0,20,20,15.621553963030754,3.38,52.31,-2.95,16.12,-11.16,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,54.41176470588235,3.38,72.05882352941177,90,64.44
LUCY,1.01,1.72,70.3,1.72,0.9,1.72,2.22,0.87,TARGET 1 HIT,Healthcare,BUY,83.0,20,20,13.111553963030753,5.1,54.08,-18.55,13.61,-20.47,True,True,False,False,2026-07-16_11-42,STRONG PULLBACK,77.20588235294117,44.11764705882353,52.20588235294118,27.941176470588236,5.1,95.58823529411765,90,62.68
