Symbol,Entry,Exit,Return_%,Highest,Lowest,Target_1,Target_2,Stop,Result,Sector,Signal,Rank_Score,Momentum_Score,Trend_Score,Relative_Strength,Risk_Reward,RSI,Return_5D,Return_20D,Distance_From_High_%,Above_SMA20,Above_SMA50,Breakout,Overextended,Test_Date,Strategy
BB,10.75,10.75,0.0,11.66,10.33,13.59,16.14,10.14,OPEN,Technology,BUY,88.0,20,20,15.221553963030754,4.62,55.59,-5.53,15.72,-16.08,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
LIND,26.29,25.35,-3.58,26.8,24.79,30.0,33.39,25.35,STOP HIT,Consumer Cyclical,BUY,88.0,25,20,13.161553963030752,3.96,57.45,3.18,13.66,-11.09,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
RIVN,17.2,16.17,-5.99,18.79,15.43,20.2,24.13,16.17,STOP HIT,Consumer Cyclical,BUY,85.0,20,20,10.181553963030751,2.9,52.5,-14.6,10.68,-14.6,True,True,False,False,2026-07-16_11-42,AVOID
HIMS,34.54,34.54,0.0,38.59,33.18,39.05,46.36,32.93,OPEN,Healthcare,BUY,85.0,20,20,19.141553963030752,2.8,56.16,-9.77,19.64,-9.77,True,True,False,False,2026-07-16_11-42,AVOID
CTRN,58.54,55.83,-4.63,59.11,54.94,66.38,76.62,55.83,STOP HIT,Consumer Cyclical,BUY,84.0,25,20,21.551553963030752,2.89,58.64,5.91,22.05,-7.93,True,True,False,False,2026-07-16_11-42,MOMENTUM
NNBR,3.38,3.38,0.15,3.72,3.29,4.44,5.51,3.1,OPEN,Industrials,BUY,83.0,20,20,13.091553963030751,3.75,55.01,-8.51,13.59,-15.16,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
MYE,30.59,30.59,0.0,31.42,29.67,35.75,39.69,29.03,OPEN,Consumer Cyclical,BUY,83.0,20,20,15.151553963030754,3.31,57.75,-0.03,15.65,-13.37,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
ALT,2.95,2.95,0.17,3.15,2.93,3.4,3.89,2.83,OPEN,Healthcare,BUY,83.0,20,20,13.591553963030751,3.7,50.03,-4.06,14.09,-6.49,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
BH,383.2,369.08,-3.68,426.0,361.02,443.0,507.42,369.08,STOP HIT,Consumer Cyclical,BUY,83.0,20,20,13.701553963030753,4.23,55.71,-9.67,14.2,-12.38,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
JBLU,5.68,5.49,-3.35,6.14,5.39,6.27,7.26,5.49,STOP HIT,Industrials,BUY,83.0,20,20,13.561553963030754,3.07,52.87,-6.27,14.06,-6.27,True,True,False,False,2026-07-16_11-42,PULLBACK CONTINUATION
NUVB,5.7,5.7,0.09,6.28,5.48,6.6,7.77,5.48,OPEN,Healthcare,BUY,83.0,20,20,19.35155396303076,4.07,54.19,1.88,19.85,-11.69,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
AMCI,5.05,5.05,0.0,6.05,4.94,6.69,8.43,4.61,OPEN,Technology,BUY,83.0,20,20,10.611553963030753,3.75,51.34,-16.53,11.11,-16.53,True,True,False,False,2026-07-16_11-42,QUALITY SETUP
