Symbol,Price,Change_%,High,Low,Open,Previous_Close,Volume,Average_Volume,RVOL,Yahoo_Close,Dollar_Volume
SUNE,3.83,49.6094,4.5,2.36,2.55,2.56,75259913,6019105,12.5,3.829999923706055,288245466.79
AARD,7.6,52.0,7.9244,5.03,5.03,5.0,3867196,451254,8.57,7.599999904632568,29390689.6
SNAL,4.94,26.6667,5.92,3.9,3.99,3.9,5687370,721568,7.88,4.940000057220459,28095607.8
NVVE,13.67,55.6948,20.74,9.21,9.54,8.78,17791338,3027526,5.88,13.670000076293944,243207590.46
WDFC,264.91,10.6466,298.899,261.4898,292.093,239.42,1165340,222277,5.24,264.9100036621094,308710219.40000004
FBRX,43.92,19.673,45.36,37.5,37.94,36.7,3170331,807981,3.92,43.91999816894531,139240937.52
WRAP,2.46,4.2373,2.73,2.14,2.31,2.36,9947852,3928927,2.53,2.4600000381469727,24471715.92
EQPT,18.65,16.5625,19.2,17.26,18.0,16.0,7162112,2876585,2.49,18.649999618530277,133573388.8
CRCL,66.14,4.9675,72.855,65.07,70.66,63.01,35158305,14537275,2.42,66.13999938964844,2325370292.7
PHAT,12.61,3.7007,12.63,11.87,12.24,12.16,2324784,1116719,2.08,12.609999656677246,29315526.24
CNMD,38.48,4.8787,38.83,36.405,37.3,36.69,1346666,683933,1.97,38.47999954223633,51819707.67999999
REZI,33.94,9.3428,34.04,30.8,30.95,31.04,2850447,1467577,1.94,33.939998626708984,96744171.18
JXN,116.76,5.3886,122.8499,115.79,116.03,110.79,1279002,708950,1.8,116.76000213623048,149336273.52
EPAC,35.13,3.9964,35.5,33.48,33.48,33.78,1155278,656038,1.76,35.130001068115234,40584916.14
CCC,5.92,10.0372,5.975,5.65,5.95,5.38,17051846,10282202,1.66,5.920000076293945,100946928.32
RXT,5.34,22.1968,5.475,4.31,4.44,4.37,41207452,25030627,1.65,5.340000152587891,220047793.68
FIZZ,33.82,3.9336,33.9761,32.53,32.54,32.54,1033482,650174,1.59,33.81999969482422,34952361.24
CAKE,82.76,5.5343,84.16,78.7838,79.0,78.42,2293430,1453416,1.58,82.76000213623047,189804266.8
WHR,40.72,7.5541,41.8599,37.78,37.79,37.86,4091876,2637998,1.55,40.720001220703125,166621190.72
