Date,Adjusted_Close,Close,High,Low,Open,Volume
2025-04-07,1960.0,1960.0,5000.0,1490.0,2005.0,381
2025-04-08,960.0,960.0,1687.5,942.5,1600.0,582
2025-04-09,1015.0,1015.0,1100.0,830.0,965.0,398
2025-04-10,944.0,944.0,1122.5,880.0,1100.0,222
2025-04-11,930.0,930.0,1030.0,825.0,960.0,2136
2025-04-14,1040.0,1040.0,1370.0,955.0,1060.0,45879
2025-04-15,690.0,690.0,947.0,635.0,915.0,2546
2025-04-16,630.0,630.0,800.0,560.0,630.0,1236
2025-04-17,650.0,650.0,740.0,605.0,630.0,1140
2025-04-21,540.0,540.0,650.0,515.0,625.0,521
2025-04-22,550.0,550.0,650.0,525.0,525.0,431
2025-04-23,560.0,560.0,625.0,550.0,575.0,267
2025-04-24,545.0,545.0,599.5,545.0,560.0,240
2025-04-25,540.0,540.0,580.0,520.0,545.0,327
2025-04-28,565.0,565.0,586.0,535.0,535.0,394
2025-04-29,585.0,585.0,600.0,550.0,560.0,312
2025-04-30,575.0,575.0,600.0,555.0,570.0,425
2025-05-01,2680.0,2680.0,2715.0,1065.0,1205.0,525746
2025-05-02,3590.0,3590.0,5325.0,3035.0,4077.5,225727
2025-05-05,3155.0,3155.0,4070.0,2780.0,3810.0,41753
2025-05-06,3250.0,3250.0,3575.0,3000.0,3100.0,12403
2025-05-07,2285.0,2285.0,3240.0,2280.0,3125.0,7260
2025-05-08,2560.0,2560.0,3150.0,2305.0,2480.0,14519
2025-05-09,2310.0,2310.0,2785.0,2250.0,2540.0,3930
2025-05-12,1850.0,1850.0,2390.0,1812.5,2355.0,3428
2025-05-13,1610.0,1610.0,1980.0,1575.0,1835.0,2490
2025-05-14,1305.0,1305.0,1750.0,1270.0,1540.0,3068
2025-05-15,1285.0,1285.0,1605.0,1215.0,1310.0,5286
2025-05-16,1750.0,1750.0,2070.0,1260.0,1400.0,23135
2025-05-19,1505.0,1505.0,1725.0,1505.0,1590.0,1798
2025-05-20,1400.0,1400.0,1660.0,1326.0,1480.0,1898
2025-05-21,1460.0,1460.0,1775.0,1350.0,1360.0,5220
2025-05-22,1695.0,1695.0,1835.0,1565.0,1582.5,32931
2025-05-23,1550.0,1550.0,1630.0,1475.0,1532.5,1806
2025-05-27,1505.0,1505.0,1675.0,1500.0,1575.0,1306
2025-05-28,1380.0,1380.0,1565.5,1350.0,1550.0,1274
2025-05-29,1405.0,1405.0,1590.0,1365.0,1375.0,1920
2025-05-30,1330.0,1330.0,1455.0,1300.0,1395.0,956
2025-06-02,1860.0,1860.0,2410.0,1330.0,1512.5,28540
2025-06-03,2720.0,2720.0,3090.0,1830.0,1900.0,56757
2025-06-04,2280.0,2280.0,2730.0,1825.0,2730.0,9003
2025-06-05,1840.0,1840.0,2285.0,1777.5,2252.5,1974
2025-06-06,1870.0,1870.0,2075.0,1605.0,1875.0,1885
2025-06-09,2195.0,2195.0,2290.0,1950.0,1990.0,3239
2025-06-10,1940.0,1940.0,2328.0,1900.0,2020.0,1726
2025-06-11,2045.0,2045.0,2130.0,1900.0,1950.0,1000
2025-06-12,1955.0,1955.0,2080.0,1880.0,2025.0,919
2025-06-13,1840.0,1840.0,1900.0,1745.0,1835.0,722
