Date,Adjusted_Close,Close,High,Low,Open,Volume
2023-10-05,448.0,448.0,574.0,188.0,200.0,186258
2023-10-06,366.0,366.0,548.0,330.0,352.5,112104
2023-10-09,325.0,325.0,389.5,319.0,345.5,7620
2023-10-10,265.5,265.5,288.5,240.5,288.5,7624
2023-10-11,238.0,238.0,285.5,235.5,285.5,2604
2023-10-12,254.0,254.0,267.0,225.0,229.0,10154
2023-10-13,252.0,252.0,289.95001220703125,240.0,268.0,4360
2023-10-16,261.5,261.5,273.0,240.0,250.5,4878
2023-10-17,274.5,274.5,274.5,240.5,240.5,2670
2023-10-18,322.5,322.5,333.0,256.0,267.0,2500
2023-10-19,404.5,404.5,450.0,326.5,326.5,17112
2023-10-20,413.0,413.0,415.0,389.5,396.0,1182
2023-10-23,462.5,462.5,486.5,421.75,422.5,6702
2023-10-24,438.5,438.5,473.5,421.0,471.0,1684
2023-10-25,406.0,406.0,426.5,402.0,426.5,710
2023-10-26,390.0,390.0,412.5,341.5,404.5,1830
2023-10-27,406.0,406.0,422.0,377.54998779296875,390.0,682
2023-10-30,405.5,405.5,424.95001220703125,401.0,424.5,594
2023-10-31,280.0,280.0,422.5,257.5,414.25,4442
2023-11-01,327.0,327.0,337.5,257.54998779296875,293.0,7058
2023-11-02,396.5,396.5,403.0,315.0,334.5,13570
2023-11-03,364.0,364.0,463.0,329.0,388.0,28176
2023-11-06,432.0,432.0,443.0,338.0,354.0,15346
2023-11-07,414.0,414.0,437.0,387.0,430.5,1362
2023-11-08,435.5,435.5,469.5,391.0,401.5,2934
2023-11-09,457.0,457.0,460.0,415.5,422.0,1792
2023-11-10,482.0,482.0,502.45001220703125,442.5,458.0,3408
2023-11-13,491.5,491.5,514.5,463.0,481.0,1678
2023-11-14,502.0,502.0,510.0,470.5,477.0,444
2023-11-15,497.0,497.0,520.0,487.6000061035156,520.0,454
2023-11-16,465.75,465.75,514.5,457.0,514.5,488
2023-11-17,492.5,492.5,513.5,460.04998779296875,462.5,406
2023-11-20,420.0,420.0,536.0,396.5,507.0,11394
2023-11-21,419.5,419.5,457.5,398.0,419.5,8538
2023-11-22,543.5,543.5,592.5,420.0,422.5,26216
2023-11-24,622.5,622.5,641.5,480.5,489.0,13296
2023-11-27,637.0,637.0,644.5,573.0,618.5,1328
2023-11-28,725.0,725.0,1148.5,620.5,664.0,85262
2023-11-29,750.0,750.0,750.0,684.5499877929688,719.5,16600
2023-11-30,726.0,726.0,800.0,725.0,750.0,6922
2023-12-01,710.0,710.0,774.0,700.0,742.5,28372
2023-12-04,642.5,642.5,849.5,550.0,745.0,26216
2023-12-05,712.5,712.5,745.0,648.0,650.0,83862
2023-12-06,674.5,674.5,697.5,650.0,675.0,11554
2023-12-07,725.0,725.0,729.5,675.0,677.0,13102
2023-12-08,690.0,690.0,725.0,562.75,722.0,85622
2023-12-11,729.0,729.0,770.5,630.5,700.0,59526
2023-12-12,739.5,739.5,799.5,710.5,729.0,37506
2023-12-13,751.0,751.0,765.0,733.5,736.0,50072
2023-12-14,760.5,760.5,810.0,740.0,743.5,12530
2023-12-15,125.0,125.0,783.0,102.5,765.5,103236
2023-12-18,119.5,119.5,119.5,72.5,94.0,84046
2023-12-19,111.5,111.5,127.5,100.0,108.5,29524
2023-12-20,90.0,90.0,108.94999694824219,87.5,108.5,18930
2023-12-21,85.0,85.0,93.5,85.0,92.5,8228
2023-12-22,76.0,76.0,84.5,76.0,84.5,14212
2023-12-26,81.5,81.5,87.5,78.0,78.0,11544
2023-12-27,75.0,75.0,86.0,75.0,84.0,15932
2023-12-28,69.0,69.0,79.0,67.0,75.0,13760
2023-12-29,68.5,68.5,71.5,68.5,71.0,3696
2024-01-02,59.0,59.0,69.0,58.5,67.5,9338
2024-01-03,60.5,60.5,64.0,56.0,56.5,5578
2024-01-04,57.5,57.5,62.0,56.5,59.5,2668
2024-01-05,56.5,56.5,60.849998474121094,55.5,55.5,4182
2024-01-08,51.0,51.0,60.5,50.5,57.5,6382
2024-01-09,48.25,48.25,51.5,47.25,51.5,4870
2024-01-10,45.0,45.0,51.0,44.0,48.95000076293945,4378
2024-01-11,45.0,45.0,46.400001525878906,43.25,46.400001525878906,2480
2024-01-12,46.0,46.0,46.70000076293945,44.0,46.70000076293945,1792
2024-01-16,43.25,43.25,45.5,43.25,44.099998474121094,1694
2024-01-17,41.25,41.25,44.54999923706055,41.20000076293945,43.5,1888
2024-01-18,37.849998474121094,37.849998474121094,42.400001525878906,37.849998474121094,42.349998474121094,2900
2024-01-19,37.0,37.0,40.0,36.5,39.0,2624
2024-01-22,36.5,36.5,37.29999923706055,33.849998474121094,37.0,6044
2024-01-23,36.75,36.75,36.849998474121094,35.0,35.5,1800
2024-01-24,38.5,38.5,38.5,35.54999923706055,36.349998474121094,1644
2024-01-25,42.54999923706055,42.54999923706055,42.900001525878906,37.5,38.5,3526
2024-01-26,50.0,50.0,51.5,44.349998474121094,45.5,5066
2024-01-29,46.70000076293945,46.70000076293945,51.0,45.5,49.0,1940
2024-01-30,43.79999923706055,43.79999923706055,48.5,42.75,45.25,1652
2024-01-31,44.75,44.75,46.650001525878906,43.25,44.25,704
2024-02-01,45.54999923706055,45.54999923706055,47.150001525878906,43.5,44.849998474121094,1652
2024-02-02,46.849998474121094,46.849998474121094,51.5,43.79999923706055,43.79999923706055,3086
2024-02-05,43.400001525878906,43.400001525878906,49.0,43.400001525878906,45.099998474121094,2170
2024-02-06,44.0,44.0,46.20000076293945,42.04999923706055,44.5,1380
2024-02-07,49.0,49.0,49.5,44.0,44.0,3022
