Date,Adjusted_Close,Close,High,Low,Open,Volume
2025-07-11,4687.5,4687.5,10312.5,4537.5,7518.75,28
2025-07-14,3787.5,3787.5,4500.0,3375.0,4162.5,958
2025-07-15,2681.25,2681.25,3337.5,2531.25,3281.25,867
2025-07-16,2343.75,2343.75,2775.0,1968.75,2643.75,738
2025-07-17,2081.25,2081.25,2381.25,2006.25,2250.0,540
2025-07-18,2062.5,2062.5,2587.5,1987.5,2081.25,1194
2025-07-21,1706.25,1706.25,2493.75,1593.75,2381.25,4022
2025-07-22,1428.75,1428.75,1638.75,1312.5,1612.5,508
2025-07-23,1500.0,1500.0,1550.625,1389.375,1408.125,261
2025-07-24,1336.875,1336.875,1500.0,1312.5,1500.0,252
2025-07-25,1275.0,1275.0,1425.0,1220.625,1387.5,170
2025-07-28,3637.5,3637.5,4162.5,1256.25,1398.75,68251
2025-07-29,1642.5,1642.5,2268.75,1631.25,2100.0,4455
2025-07-30,1350.0,1350.0,1528.125,1323.75,1479.375,1460
2025-07-31,1312.5,1312.5,1425.0,1288.125,1406.25,756
2025-08-01,1100.625,1100.625,1222.5,956.25,1220.625,966
2025-08-04,1115.625,1115.625,1149.375,1018.125,1087.5,295
2025-08-05,993.75,993.75,1143.75,965.625,1098.75,375
2025-08-06,916.875,916.875,984.375,868.125,963.75,353
2025-08-07,881.25,881.25,915.0,855.0,900.0,182
2025-08-08,873.75,873.75,1006.875,864.375,937.5,355
2025-08-11,937.5,937.5,1098.75,886.875,937.5,1146
2025-08-12,918.75,918.75,973.125,881.25,946.875,232
2025-08-13,1050.0,1050.0,1186.875,922.5,1014.375,994
2025-08-14,1018.125,1018.125,1031.25,956.25,1003.125,227
2025-08-15,935.625,935.625,1068.75,900.0,1068.75,161
2025-08-18,1055.625,1055.625,1078.125,965.625,982.5,397
2025-08-19,971.25,971.25,1050.0,941.25,1012.5,185
2025-08-20,971.25,971.25,1012.5,900.0,969.375,156
2025-08-21,873.75,873.75,975.0,868.125,973.125,256
2025-08-22,937.5,937.5,993.75,881.25,881.25,332
2025-08-25,918.75,918.75,933.75,881.25,915.0,8299
2025-08-26,806.25,806.25,1297.5,744.375,1248.75,53334
2025-08-27,766.875,766.875,900.0,744.375,900.0,2117
2025-08-28,768.75,768.75,806.25,720.0,740.625,876
2025-08-29,768.75,768.75,806.25,750.0,759.375,362
2025-09-02,708.75,708.75,768.75,695.625,757.5,526
2025-09-03,673.125,673.125,748.125,673.125,712.5,309
2025-09-04,620.625,620.625,667.5,583.125,667.5,465
2025-09-05,573.75,573.75,618.75,566.25,601.875,349
2025-09-08,540.0,540.0,598.125,526.875,598.125,581
2025-09-09,590.625,590.625,624.375,525.0,525.0,605
2025-09-10,496.875,496.875,598.125,496.875,581.25,662
2025-09-11,864.375,864.375,1125.0,755.625,1023.75,148998
2025-09-12,738.75,738.75,855.0,675.0,787.5,4244
2025-09-15,703.125,703.125,810.0,703.125,766.875,1882
2025-09-16,648.75,648.75,731.25,639.375,712.5,1020
2025-09-17,605.625,605.625,645.0,579.375,637.5,1024
2025-09-18,637.5,637.5,637.5,611.25,628.125,527
2025-09-19,624.375,624.375,675.0,605.625,661.875,830
2025-09-22,611.25,611.25,637.5,596.25,611.25,506
2025-09-23,616.875,616.875,628.125,609.375,611.25,269
2025-09-24,583.125,583.125,618.75,583.125,613.125,395
2025-09-25,566.25,566.25,590.625,558.75,590.625,293
2025-09-26,575.625,575.625,581.25,543.75,570.0,414
2025-09-29,551.25,551.25,568.125,543.75,562.5,456
2025-09-30,556.875,556.875,556.875,541.875,551.25,296
2025-10-01,577.5,577.5,613.125,562.5,562.5,1185
2025-10-02,611.25,611.25,618.75,579.375,598.125,496
2025-10-03,620.625,620.625,622.5,564.375,618.75,1040
2025-10-06,660.0,660.0,667.5,620.625,620.625,688
2025-10-07,628.125,628.125,699.375,611.25,665.625,1746
2025-10-08,706.875,706.875,720.0,618.75,618.75,1598
2025-10-09,633.75,633.75,731.25,628.125,731.25,918
2025-10-10,615.0,615.0,656.25,590.625,646.875,660
2025-10-13,601.875,601.875,656.25,590.625,656.25,532
2025-10-14,575.625,575.625,594.375,543.75,583.125,561
2025-10-15,579.375,579.375,750.0,571.875,600.0,4539
2025-10-16,577.5,577.5,601.875,543.75,579.375,1052
2025-10-17,556.875,556.875,575.625,526.875,543.75,772
2025-10-20,603.75,603.75,618.75,549.375,590.625,873
2025-10-21,571.875,571.875,603.75,566.25,603.75,2703
2025-10-22,525.0,525.0,562.5,487.5,560.625,2015
2025-10-23,511.875,511.875,534.375,508.125,523.125,1156
2025-10-24,543.75,543.75,573.75,510.0,510.0,2487
2025-10-27,555.0,555.0,568.125,525.0,553.125,1019
2025-10-28,543.75,543.75,588.75,534.375,543.75,7807
2025-10-29,536.25,536.25,750.0,511.875,712.5,90742
2025-10-30,483.75,483.75,543.75,461.25,517.5,19414
2025-10-31,448.125,448.125,491.25,408.75,483.75,5530
2025-11-03,356.25,356.25,431.25,217.5,418.125,4289
2025-11-04,386.25,386.25,414.375,356.25,367.5,8412
2025-11-05,352.5,352.5,431.25,346.875,425.625,7731
2025-11-06,350.625,350.625,365.625,330.0,363.75,2398
2025-11-07,341.25,341.25,356.25,324.375,343.125,1419
2025-11-10,352.5,352.5,375.0,346.875,348.75,1437
2025-11-11,348.75,348.75,358.125,339.375,352.5,1673
2025-11-12,380.625,380.625,399.375,345.0,350.625,5563
2025-11-13,365.625,365.625,378.75,350.625,373.125,3302
2025-11-14,363.75,363.75,384.375,352.5,358.125,3269
2025-11-17,328.125,328.125,367.5,311.25,360.0,1549
2025-11-18,337.5,337.5,352.5,311.25,322.5,878
2025-11-19,316.875,316.875,343.125,315.0,337.5,1286
2025-11-20,255.0,255.0,300.0,247.5,292.5,3894
2025-11-21,258.75,258.75,271.875,245.625,255.0,1264
2025-11-24,281.25,281.25,292.5,255.0,268.125,6615
2025-11-25,285.0,285.0,298.125,271.875,285.0,2168
2025-11-26,300.0,300.0,328.125,277.5,277.5,5296
2025-11-28,316.875,316.875,331.875,281.25,298.125,2856
2025-12-01,298.125,298.125,328.125,288.75,328.125,3427
2025-12-02,328.125,328.125,330.0,292.5,307.5,4831
2025-12-03,356.25,356.25,363.75,305.625,331.875,8592
2025-12-04,341.25,341.25,378.75,326.25,350.625,16334
2025-12-05,331.875,331.875,343.125,324.375,324.375,3275
2025-12-08,371.25,371.25,375.0,300.0,318.75,9692
2025-12-09,346.875,346.875,376.875,330.0,371.25,7093
2025-12-10,328.125,328.125,348.75,322.5,335.625,3373
2025-12-11,330.0,330.0,356.25,330.0,337.5,3407
2025-12-12,286.875,286.875,326.25,283.125,318.75,5079
2025-12-15,228.75,228.75,296.25,221.25,294.375,16253
2025-12-16,210.0,210.0,228.75,178.125,200.625,5449
2025-12-17,200.625,200.625,210.0,191.25,200.625,4130
2025-12-18,211.875,211.875,219.375,198.75,198.75,2781
2025-12-19,221.25,221.25,223.125,198.75,210.0,1866
2025-12-22,163.125,163.125,202.5,153.75,200.625,10059
2025-12-23,144.375,144.375,159.375,136.875,148.125,6596
2025-12-24,150.0,150.0,161.25,138.75,140.625,3064
2025-12-26,135.0,135.0,150.0,135.0,142.5,2894
2025-12-29,127.5,127.5,135.0,121.875,135.0,4195
2025-12-30,228.75,228.75,318.75,202.5,251.25,444275
2025-12-31,196.875,196.875,221.25,170.625,210.0,30522
2026-01-02,187.5,187.5,189.375,161.25,189.375,11152
2026-01-05,159.375,159.375,185.625,153.75,185.625,9280
2026-01-06,189.375,189.375,200.625,151.875,151.875,14570
2026-01-07,183.75,183.75,204.375,168.75,168.75,5818
2026-01-08,183.75,183.75,189.375,174.375,185.625,2224
2026-01-09,176.25,176.25,193.125,168.75,187.5,3519
2026-01-12,166.875,166.875,174.375,161.25,172.5,2316
2026-01-13,153.75,153.75,172.5,150.0,172.5,3479
2026-01-14,168.75,168.75,191.25,153.75,168.75,17020
2026-01-15,185.625,185.625,191.25,165.0,166.875,4953
2026-01-16,193.125,193.125,245.625,166.875,243.75,80521
2026-01-20,178.125,178.125,189.375,170.625,178.125,4074
2026-01-21,215.625,215.625,226.875,174.375,178.125,11406
2026-01-22,215.625,215.625,215.625,193.125,211.875,4820
2026-01-23,213.75,213.75,226.875,193.125,213.75,3646
2026-01-26,183.75,183.75,206.25,174.375,204.375,3318
2026-01-27,195.0,195.0,200.625,180.0,195.0,2721
2026-01-28,180.0,180.0,198.75,180.0,196.875,1986
2026-01-29,174.375,174.375,181.875,153.75,178.125,6069
2026-01-30,174.375,174.375,183.75,168.75,181.875,1559
2026-02-02,166.875,166.875,183.75,165.0,183.75,1975
2026-02-03,172.5,172.5,178.125,150.0,150.0,1719
2026-02-04,161.25,161.25,176.25,150.0,176.25,2740
2026-02-05,103.125,103.125,121.875,97.5,112.5,8065
2026-02-06,108.75,108.75,112.5,97.5,97.5,2963
2026-02-09,79.0,79.0,105.375,72.5,103.5,18756
2026-02-10,75.0,75.0,80.7249984741211,72.5,80.25,14480
2026-02-11,73.5,73.5,80.5,71.25,75.25,9548
2026-02-12,75.5,75.5,77.0,70.0,70.75,19356
2026-02-13,50.25,50.25,72.5,47.0,69.0,22644
2026-02-17,47.0,47.0,49.0,45.0,48.5,3768
