Date,Adjusted_Close,Close,High,Low,Open,Volume
2025-04-11,637.5,637.5,1848.75,99.0,99.0,549
2025-04-14,435.0,435.0,1219.199951171875,398.25,1124.25,1867
2025-04-15,345.0,345.0,489.67498779296875,296.25,450.0,1688
2025-04-16,264.0,264.0,333.75,264.0,333.75,1704
2025-04-17,274.5,274.5,280.5,210.75,262.5,1449
2025-04-21,267.75,267.75,276.0,237.52499389648438,270.0,888
2025-04-22,239.02499389648438,239.02499389648438,273.75,225.0,253.5,631
2025-04-23,225.0,225.0,249.97500610351562,217.875,238.5,275
2025-04-24,243.6750030517578,243.6750030517578,255.0,219.75,231.75,1947
2025-04-25,217.5,217.5,252.75,210.0,243.75,1168
2025-04-28,225.75,225.75,231.60000610351562,213.0,216.75,99
2025-04-29,205.875,205.875,217.5,189.75,217.5,780
2025-04-30,204.0,204.0,217.5,200.25,200.25,119
2025-05-01,196.5,196.5,219.0,196.5,219.0,83
2025-05-02,186.75,186.75,204.60000610351562,180.60000610351562,194.25,189
2025-05-05,182.25,182.25,204.97500610351562,181.5,192.75,184
2025-05-06,179.25,179.25,192.89999389648438,179.25,180.75,147
2025-05-07,178.5,178.5,189.0,178.5,189.0,59
2025-05-08,213.0,213.0,222.0,181.875,185.25,1095
2025-05-09,211.5,211.5,247.5,211.5,213.0,667
2025-05-12,222.0,222.0,240.0,213.0,213.0,268
2025-05-13,211.8000030517578,211.8000030517578,237.75,207.0,225.75,417
2025-05-14,212.25,212.25,225.0,207.0,210.0,153
2025-05-15,209.25,209.25,212.25,195.75,204.0,209
2025-05-16,199.8000030517578,199.8000030517578,207.97500610351562,192.0,198.75,115
2025-05-19,195.60000610351562,195.60000610351562,197.25,189.75,195.75,283
2025-05-20,201.75,201.75,204.75,191.25,191.25,177
2025-05-21,210.75,210.75,216.8249969482422,202.5,204.75,136
2025-05-22,208.5,208.5,216.60000610351562,206.25,207.0,49
2025-05-23,205.125,205.125,210.0,199.35000610351562,208.5,52
2025-05-27,200.25,200.25,215.25,200.25,211.5,244
2025-05-28,204.14999389648438,204.14999389648438,214.5,200.9250030517578,202.5,61
2025-05-29,207.89999389648438,207.89999389648438,207.89999389648438,198.75,198.75,24
2025-05-30,205.5,205.5,206.25,196.5,205.5,104
2025-06-02,195.0,195.0,209.25,195.0,203.25,447
2025-06-03,202.5,202.5,208.8000030517578,196.5,198.75,256
2025-06-04,201.0,201.0,209.5500030517578,196.64999389648438,206.25,95
2025-06-05,206.25,206.25,213.3000030517578,198.75,209.10000610351562,265
2025-06-06,206.25,206.25,214.5,204.0,204.0,40
2025-06-09,213.3000030517578,213.3000030517578,214.5,204.0,212.25,104
2025-06-10,213.0,213.0,214.5,205.27499389648438,210.0,59
2025-06-11,230.25,230.25,239.25,207.6750030517578,210.75,708
2025-06-12,251.25,251.25,270.0,216.0,240.0,3932
2025-06-13,1050.0,1050.0,1542.75,810.0,873.75,1357504
2025-06-16,414.0,414.0,555.0,394.875,555.0,77524
2025-06-17,794.25,794.25,1086.75,502.5,522.75,605867
2025-06-18,654.75,654.75,757.5,563.25,617.25,152025
2025-06-20,459.0,459.0,525.0,423.75,492.0,67047
2025-06-23,502.5,502.5,632.25,468.75,598.5,211259
2025-06-24,363.75,363.75,393.75,341.25,367.5,36064
2025-06-25,277.5,277.5,330.0,225.0,262.5,69789
2025-06-26,274.5,274.5,299.25,264.75,275.25,14992
2025-06-27,251.25,251.25,283.5,248.25,270.0,12803
2025-06-30,225.0,225.0,267.75,225.0,243.75,14573
2025-07-01,225.75,225.75,244.5,225.75,228.75,7324
2025-07-02,236.25,236.25,243.0,225.75,226.5,8109
2025-07-03,228.75,228.75,247.5,227.25,238.5,6225
2025-07-07,209.25,209.25,235.4250030517578,209.25,231.0,13096
2025-07-08,204.75,204.75,226.125,203.25,213.0,7483
2025-07-09,209.25,209.25,228.75,204.75,207.75,9189
2025-07-10,220.5,220.5,240.0,211.5,216.0,11337
2025-07-11,234.0,234.0,239.25,221.25,228.75,10160
2025-07-14,240.75,240.75,278.25,235.0500030517578,255.0,40740
2025-07-15,241.5,241.5,247.5,233.25,238.5,8227
2025-07-16,245.25,245.25,254.9250030517578,233.3249969482422,237.0,7203
2025-07-17,242.25,242.25,247.5,234.0,246.0,7196
2025-07-18,250.5,250.5,251.25,232.5,243.0,5981
2025-07-21,245.25,245.25,263.70001220703125,241.5,250.5,4607
2025-07-22,230.25,230.25,240.22500610351562,228.75,237.0,4079
2025-07-23,235.5,235.5,240.375,231.75,234.0,3036
2025-07-24,237.75,237.75,239.25,228.75,239.25,5561
2025-07-25,231.0,231.0,234.75,228.0,230.25,1364
2025-07-28,223.5,223.5,231.75,215.25,227.25,2073
2025-07-29,230.25,230.25,231.0,216.0,221.25,4665
2025-07-30,215.25,215.25,230.25,213.75,230.25,3372
2025-07-31,185.25,185.25,277.42498779296875,179.25,216.75,47887
