Date,Adjusted_Close,Close,High,Low,Open,Volume
2023-08-10,546000.0,546000.0,1015000.0,508200.0,700000.0,25
2023-08-11,420000.0,420000.0,603400.0,282800.0,449400.0,38
2023-08-14,284200.0,284200.0,551600.0,273000.0,371000.0,31
2023-08-15,292600.0,292600.0,341600.0,282800.0,282800.0,8
2023-08-16,238000.0,238000.0,294000.0,228200.0,285600.0,9
2023-08-17,229600.0,229600.0,336000.0,218400.0,254800.0,42
2023-08-18,169400.0,169400.0,222600.0,156800.0,212800.0,35
2023-08-21,177800.0,177800.0,200200.0,168000.0,182000.0,27
2023-08-22,170800.0,170800.0,172200.0,154000.0,163800.0,15
2023-08-23,159600.0,159600.0,166600.0,156800.0,163800.0,9
2023-08-24,127400.0,127400.0,148400.0,127400.0,137200.0,13
2023-08-25,142800.0,142800.0,182000.0,131040.0,131040.0,62
2023-08-28,159600.0,159600.0,196000.0,147000.0,196000.0,109
2023-08-29,142800.0,142800.0,159600.0,138740.0,158200.0,20
2023-08-30,144200.0,144200.0,147000.0,128800.0,131600.0,10
2023-08-31,152600.0,152600.0,161000.0,144200.0,147000.0,20
2023-09-01,158200.0,158200.0,158200.0,144200.0,156800.0,9
2023-09-05,162400.0,162400.0,231000.0,148400.0,168000.0,125
2023-09-06,152600.0,152600.0,176400.0,137480.0,175000.0,77
2023-09-07,168000.0,168000.0,180740.0,144200.0,144200.0,49
2023-09-08,161000.0,161000.0,183400.0,154000.0,169400.0,43
2023-09-11,136640.0,136640.0,156800.0,133140.0,155400.0,45
2023-09-12,105980.0,105980.0,132160.0,105700.0,132020.0,41
2023-09-13,98140.0,98140.0,107100.0,92400.0,104860.0,38
2023-09-14,98000.0,98000.0,101500.0,94500.0,95200.0,17
2023-09-15,94640.0,94640.0,100660.0,93380.0,97720.0,12
2023-09-18,89600.0,89600.0,95900.0,85960.0,94500.0,12
2023-09-19,81200.0,81200.0,91140.0,78400.0,91140.0,11
2023-09-20,94780.0,94780.0,96320.0,75740.0,80500.0,32
2023-09-21,79520.0,79520.0,93800.0,78540.0,87500.0,14
2023-09-22,75180.0,75180.0,79800.0,74200.0,78400.0,11
2023-09-25,62860.0,62860.0,72800.0,60200.0,72240.0,19
2023-09-26,65100.0,65100.0,68600.0,62300.0,62440.0,7
2023-09-27,61600.0,61600.0,65100.0,60200.0,63140.0,6
2023-09-28,54600.0,54600.0,60200.0,53200.0,59640.0,16
2023-09-29,55720.0,55720.0,65100.0,53340.0,58800.0,29
2023-10-02,52500.0,52500.0,57540.0,52500.0,53480.0,9
2023-10-03,54040.0,54040.0,57400.0,50960.0,53200.0,5
2023-10-04,54320.0,54320.0,61460.0,52640.0,52920.0,8
2023-10-05,53200.0,53200.0,56280.0,52500.0,54600.0,3
2023-10-06,54180.0,54180.0,56000.0,52500.0,53760.0,11
2023-10-09,37800.0,37800.0,42700.0,36400.0,42000.0,20
2023-10-10,35700.0,35700.0,39060.0,35000.0,37800.0,8
2023-10-11,31920.0,31920.0,35560.0,30800.0,35280.0,10
2023-10-12,33180.0,33180.0,33180.0,30800.0,31360.0,8
2023-10-13,24080.0,24080.0,26180.0,23240.0,26180.0,37
2023-10-16,22680.0,22680.0,64820.0,21700.0,60060.0,1237
2023-10-17,21980.0,21980.0,23800.0,21000.0,23660.0,216
2023-10-18,19040.0,19040.0,21000.0,17920.0,21000.0,123
2023-10-19,17500.0,17500.0,18060.0,15400.0,17500.0,87
2023-10-20,17220.0,17220.0,17500.0,15960.0,15960.0,39
2023-10-23,15540.0,15540.0,17080.0,15120.0,17080.0,47
2023-10-24,18340.0,18340.0,18900.0,15260.0,15540.0,80
2023-10-25,16800.0,16800.0,18060.0,15540.0,17780.0,28
2023-10-26,16240.0,16240.0,17220.0,15820.0,16240.0,24
2023-10-27,16100.0,16100.0,16380.0,15260.0,15820.0,19
2023-10-30,14560.0,14560.0,16240.0,14420.0,15960.0,32
2023-10-31,13580.0,13580.0,14840.0,13020.0,14420.0,57
2023-11-01,15120.0,15120.0,15820.0,14000.0,14560.0,54
2023-11-02,18900.0,18900.0,19180.0,14420.0,14840.0,91
2023-11-03,17780.0,17780.0,19740.0,17640.0,18480.0,42
2023-11-06,15960.0,15960.0,17780.0,14980.0,17780.0,39
2023-11-07,15820.0,15820.0,15960.0,15400.0,15960.0,42
2023-11-08,11760.0,11760.0,13580.0,11060.0,13580.0,44
2023-11-09,11620.0,11620.0,12040.0,10640.0,11900.0,31
2023-11-10,12600.0,12600.0,13440.0,11480.0,11620.0,145
2023-11-13,9100.0,9100.0,16800.0,9100.0,15680.0,659
