Symbol,Price,Change_%,High,Low,Open,Previous_Close,Volume,Average_Volume,RVOL,Yahoo_Close,Dollar_Volume
AAL,16.95,-0.6448,17.0,16.47,16.9,17.06,82051300.0,103966776.0,0.79,16.950000762939453,1390769535.0
AAME,1.69,0.5952,1.69,1.66,1.66,1.68,4300.0,13016.0,0.33,1.690000057220459,7267.0
AAOI,119.92,-1.8738,124.78,113.1005,118.71,122.21,6721600.0,12552530.0,0.54,119.91999816894531,806054272.0
AAON,114.16,3.5465,115.08,107.55,108.58,110.25,828500.0,1180506.0,0.7,114.16000366210938,94581560.0
AAPL,315.32,-0.2846,316.91,312.17,314.72,316.22,34109200.0,56990136.0,0.6,315.32000732421875,10755312944.0
AARD,7.6,52.0,7.9244,5.03,5.03,5.0,4029500.0,281792.0,14.3,7.599999904632568,30624200.0
ABAT,2.63,-1.8657,2.73,2.6,2.69,2.68,2515600.0,6848452.0,0.37,2.630000114440918,6616028.0
ABEO,6.98,-1.9663,7.25,6.7509,7.12,7.12,1630100.0,1274964.0,1.28,6.980000019073486,11378098.0
ABNB,148.62,1.1778,149.3,147.02,147.02,146.89,2635800.0,3887788.0,0.68,148.6199951171875,391732596.0
ABOS,2.63,-2.5926,2.73,2.5399,2.73,2.7,318400.0,464284.0,0.69,2.630000114440918,837392.0
ABSI,10.6,-7.585,11.4124,10.32,11.37,11.47,4694400.0,6236740.0,0.75,10.600000381469727,49760640.0
ABTC,6.13,2.5084,6.65,5.95,6.19,5.98,1871500.0,13467226.0,0.14,6.130000114440918,11472295.0
ABUS,4.8,-6.6148,5.2,4.625,5.14,5.14,2950700.0,2026080.0,1.46,4.800000190734863,14163360.0
ABVC,1.51,4.1379,1.62,1.36,1.36,1.45,179300.0,150340.0,1.19,1.5099999904632568,270743.0
ACAD,26.22,-0.7194,26.51,25.66,26.51,26.41,1442800.0,1672440.0,0.86,26.219999313354492,37830216.0
ACDC,4.92,0.4082,4.97,4.81,4.96,4.9,915800.0,1443012.0,0.63,4.920000076293945,4505736.0
ACET,8.83,-1.2304,8.98,8.675,8.95,8.94,60800.0,97246.0,0.63,8.829999923706055,536864.0
ACFN,17.25,2.0106,17.25,16.38,16.93,16.91,20500.0,9568.0,2.14,17.25,353625.0
ACGL,101.06,-0.6293,102.055,100.14,101.91,101.7,1285000.0,2418620.0,0.53,101.05999755859375,129862100.0
ACHC,31.28,-0.3822,31.985,30.73,31.78,31.4,2966600.0,3167712.0,0.94,31.280000686645508,92795248.0
ACIC,11.17,-0.0894,11.3,10.96,11.3,11.18,241300.0,308672.0,0.78,11.170000076293945,2695321.0
ACIU,2.39,-8.0769,2.6,2.39,2.6,2.6,199700.0,293574.0,0.68,2.390000104904175,477283.0
ACIW,56.42,0.0355,57.58,56.29,56.97,56.4,671900.0,912000.0,0.74,56.41999816894531,37908598.0
ACLS,143.35,0.2939,144.61,138.585,139.32,142.93,328100.0,670414.0,0.49,143.35000610351562,47033135.0
ACMR,103.0,-2.8668,105.236174,96.51,100.0,106.04,915100.0,1824376.0,0.5,103.0,94255300.0
ACNB,59.32,0.5253,59.635,58.545,58.81,59.01,38900.0,62430.0,0.62,59.31999969482422,2307548.0
ACNT,15.26,0.0656,15.36,15.1401,15.36,15.25,39700.0,85060.0,0.47,15.260000228881836,605822.0
ACOG,8.41,-1.2911,8.8,8.4,8.73,8.52,56700.0,40024.0,1.42,8.40999984741211,476847.0
ACON,2.844,-2.268,2.91,2.81,2.91,2.91,19900.0,72986.0,0.27,2.8440001010894775,56595.6
ACRS,5.58,-2.2767,5.76,5.46,5.76,5.71,1391800.0,1583514.0,0.88,5.579999923706055,7766244.0
ACRV,1.96,-4.3902,2.04,1.88,2.03,2.05,349300.0,448986.0,0.78,1.9600000381469727,684628.0
ACT,44.75,-0.5113,45.62,44.2,44.98,44.98,259500.0,320842.0,0.81,44.75,11612625.0
ACTG,4.42,0.9132,4.445,4.29,4.33,4.38,515900.0,263512.0,1.96,4.420000076293945,2280278.0
ACTU,1.21,-1.626,1.4,1.21,1.24,1.23,255600.0,168326.0,1.52,1.2100000381469727,309276.0
ACXP,1.5,2.7397,1.52,1.44,1.47,1.46,84700.0,98182.0,0.86,1.5,127050.0
ADAM,9.19,0.1089,9.23,9.12,9.2,9.18,607600.0,889780.0,0.68,9.1899995803833,5583844.0
ADBE,223.64,0.4446,228.4,222.82,226.5,222.65,3206100.0,6508210.0,0.49,223.63999938964844,717012204.0
ADEA,28.98,-1.8625,29.525,28.57,29.2,29.53,779212.0,2299005.0,0.34,28.985000610351562,22581563.76
ADGM,0.57,0.6889,0.64,0.57,0.5775,0.5661,199400.0,99450.0,2.01,0.5699999928474426,113657.99999999999
ADI,395.65,0.5106,398.335,385.93,387.5,393.64,2325800.0,4925882.0,0.47,395.6499938964844,920202770.0
ADIL,2.78,-0.7143,2.89,2.7,2.79,2.8,51000.0,562246.0,0.09,2.7799999713897705,141780.0
ADMA,9.08,-2.0496,9.33,9.055,9.27,9.27,2343200.0,4773190.0,0.49,9.079999923706055,21276256.0
ADP,241.92,0.2653,244.295,240.205,243.59,241.28,1243000.0,2874964.0,0.43,241.9199981689453,300706560.0
ADPT,21.06,-3.3945,22.1292,20.72,21.92,21.8,1907500.0,2801272.0,0.68,21.059999465942383,40171950.0
ADSK,208.45,-0.0623,212.7997,207.19,212.0,208.58,1232900.0,2729646.0,0.45,208.4499969482422,256998005.0
ADTN,13.44,-0.7386,13.505,13.2,13.44,13.54,711700.0,2585556.0,0.28,13.4399995803833,9565248.0
ADUR,16.12,-0.1239,16.5884,15.68,16.25,16.14,386400.0,524822.0,0.74,16.1200008392334,6228768.0
ADUS,108.21,-1.3762,110.565,107.33,109.88,109.72,220400.0,267382.0,0.82,108.20999908447266,23849484.0
ADV,39.89,0.8342,40.995,38.7,40.15,39.56,145900.0,134264.0,1.09,39.88999938964844,5819951.0
ADVB,5.16,-3.0986,5.905,5.0916,5.54,5.325,15300.0,144356.0,0.11,5.159999847412109,78948.0
