Rank,Symbol,Price,Change_%,High,Low,Open,Previous_Close
1,AARD,7.6,52.0,7.9244,5.03,5.03,5.0
2,ABVC,1.51,4.1379,1.62,1.36,1.36,1.45
3,AAON,114.16,3.5465,115.08,107.55,108.58,110.25
4,ACXP,1.5,2.7397,1.52,1.44,1.47,1.46
5,ABTC,6.13,2.5084,6.65,5.95,6.19,5.98
6,ACFN,17.25,2.0106,17.25,16.38,16.93,16.91
7,ABNB,148.62,1.1778,149.3,147.02,147.02,146.89
8,ACTG,4.42,0.9132,4.445,4.29,4.33,4.38
9,ADV,39.89,0.8342,40.995,38.7,40.15,39.56
10,ADGM,0.57,0.6889,0.64,0.57,0.5775,0.5661
11,AAME,1.69,0.5952,1.69,1.66,1.66,1.68
12,ACNB,59.32,0.5253,59.635,58.545,58.81,59.01
13,ADI,395.65,0.5106,398.335,385.93,387.5,393.64
14,ADBE,223.64,0.4446,228.4,222.82,226.5,222.65
15,ACDC,4.92,0.4082,4.97,4.81,4.96,4.9
16,ACLS,143.35,0.2939,144.61,138.585,139.32,142.93
17,ADP,241.92,0.2653,244.295,240.205,243.59,241.28
18,ADAM,9.19,0.1089,9.23,9.12,9.2,9.18
19,ACNT,15.26,0.0656,15.36,15.1401,15.36,15.25
20,ACIW,56.42,0.0355,57.58,56.29,56.97,56.4
21,ADSK,208.45,-0.0623,212.7997,207.19,212.0,208.58
22,ACIC,11.17,-0.0894,11.3,10.96,11.3,11.18
23,ADUR,16.12,-0.1239,16.5884,15.68,16.25,16.14
24,AAPL,315.32,-0.2846,316.91,312.17,314.72,316.22
25,ACHC,31.28,-0.3822,31.985,30.73,31.78,31.4
26,ACT,44.75,-0.5113,45.62,44.2,44.98,44.98
27,ACGL,101.06,-0.6293,102.055,100.14,101.91,101.7
28,AAL,16.95,-0.6448,17.0,16.47,16.9,17.06
29,ADIL,2.78,-0.7143,2.89,2.7,2.79,2.8
30,ACAD,26.22,-0.7194,26.51,25.66,26.51,26.41
31,ADTN,13.44,-0.7386,13.505,13.2,13.44,13.54
32,ACET,8.83,-1.2304,8.98,8.675,8.95,8.94
33,ACOG,8.41,-1.2911,8.8,8.4,8.73,8.52
34,ADUS,108.21,-1.3762,110.565,107.33,109.88,109.72
35,ACTU,1.21,-1.626,1.4,1.21,1.24,1.23
36,ADEA,28.98,-1.8625,29.525,28.57,29.2,29.53
37,ABAT,2.63,-1.8657,2.73,2.6,2.69,2.68
38,AAOI,119.92,-1.8738,124.78,113.1005,118.71,122.21
39,ABEO,6.98,-1.9663,7.25,6.7509,7.12,7.12
40,ADMA,9.08,-2.0496,9.33,9.055,9.27,9.27
41,ACON,2.844,-2.268,2.91,2.81,2.91,2.91
42,ACRS,5.58,-2.2767,5.76,5.46,5.76,5.71
43,ABOS,2.63,-2.5926,2.73,2.5399,2.73,2.7
44,ACMR,103.0,-2.8668,105.236174,96.51,100.0,106.04
45,ADVB,5.16,-3.0986,5.905,5.0916,5.54,5.325
46,ADPT,21.06,-3.3945,22.1292,20.72,21.92,21.8
47,ACRV,1.96,-4.3902,2.04,1.88,2.03,2.05
48,ABUS,4.8,-6.6148,5.2,4.625,5.14,5.14
49,ABSI,10.6,-7.585,11.4124,10.32,11.37,11.47
50,ACIU,2.39,-8.0769,2.6,2.39,2.6,2.6
