Symbol,Sector,Strategy,Rebalanced_Score,Rebalanced_Rank,Rebalanced_Allocation_%,Rebalance_Action,Final_Action,Snapshot_Date
CNMD,Healthcare,QUALITY SETUP,84.5204,1,10,HOLD,WATCH,2026-07-29 15:36:10.001657
KOD,Healthcare,QUALITY SETUP,82.60839999999999,2,10,HOLD,WATCH,2026-07-29 15:36:10.001657
JXN,Financial Services,QUALITY SETUP,75.5564,3,10,HOLD,WATCH,2026-07-29 15:36:10.001657
REZI,Industrials,QUALITY SETUP,72.0364,4,10,HOLD,WATCH,2026-07-29 15:36:10.001657
META,Communication Services,QUALITY SETUP,68.5924,5,10,HOLD,WATCH,2026-07-29 15:36:10.001657
CRCL,Financial Services,QUALITY SETUP,68.5484,6,10,HOLD,WATCH,2026-07-29 15:36:10.001657
CROX,Consumer Cyclical,QUALITY SETUP,66.8484,7,10,HOLD,WATCH,2026-07-29 15:36:10.001657
EPAC,Industrials,QUALITY SETUP,59.6924,8,10,HOLD,WATCH,2026-07-29 15:36:10.001657
CINF,Financial Services,QUALITY SETUP,57.7844,9,10,HOLD,WATCH,2026-07-29 15:36:10.001657
CAKE,Consumer Cyclical,QUALITY SETUP,56.47239999999999,10,10,HOLD,WATCH,2026-07-29 15:36:10.001657
