Feature,Importance,Importance_%
Return_5D,0.17835012867239222,17.84
ATR_Percent,0.15356214230897705,15.36
RSI_Change,0.14789850788398243,14.79
Volatility_20D,0.1150219242061497,11.5
Range_Position,0.04744849234337831,4.74
RSI,0.042204071418470435,4.22
Distance_From_52W_High,0.035924812307576916,3.59
Return_10D,0.032860690332075254,3.29
RVOL,0.03077557061891676,3.08
Momentum_Acceleration,0.02777663828848187,2.78
ATR,0.02473631350496968,2.47
SMA_Gap,0.023498827556233892,2.35
Average_Volume,0.02296555086759508,2.3
Return_20D,0.021698714442947756,2.17
Volume_Trend,0.021210327627046808,2.12
SMA50,0.02089425975911618,2.09
Volume,0.019838489756987102,1.98
SMA20,0.01771416046413821,1.77
Above_SMA20,0.012019580266363938,1.2
Above_SMA50,0.003600797374200387,0.36
