Category,Trades,Accuracy,Avg_Return_5D,Analysis
"(0, 10]",91,100.0,-3.182747252747253,ML_Probability
"(10, 25]",400,90.75,-1.7985999999999998,ML_Probability
"(25, 50]",49,97.95918367346938,-3.2942857142857145,ML_Probability
"(50, 75]",0,,,ML_Probability
"(75, 100]",0,,,ML_Probability
"(0, 30]",318,88.9937106918239,-1.1627672955974842,AI_Final_Score
"(30, 45]",131,97.70992366412213,-4.097633587786259,AI_Final_Score
"(45, 60]",91,100.0,-2.9004395604395605,AI_Final_Score
"(60, 100]",0,,,AI_Final_Score
"(-100, -10]",24,100.0,-12.270000000000001,Return_5D
"(-10, -5]",72,100.0,-6.086666666666667,Return_5D
"(-5, 0]",406,100.0,-1.1392118226600985,Return_5D
"(0, 5]",38,0.0,0.6513157894736842,Return_5D
"(5, 10]",0,,,Return_5D
"(10, 100]",0,,,Return_5D
"(-100, -10]",0,,,Return_20D
"(-10, 0]",0,,,Return_20D
"(0, 10]",0,,,Return_20D
"(10, 20]",0,,,Return_20D
"(20, 100]",0,,,Return_20D
Bearish,180,92.22222222222223,0.003944444444444445,Market_Regime
Bullish,360,93.33333333333333,-3.2533333333333334,Market_Regime
