Date,Model,Accuracy,F1,Market_Regime,Stocks_Scanned,Average_ML_Probability,Highest_ML_Probability,Top_Ranked_Stock,Average_AI_Score
2026-07-22 21:44:52,model_v27,98.3,96.1,Bullish,15,14.25,26.12,META,32.87
2026-07-23 09:40:04,model_v27,98.3,96.1,Bullish,15,14.66,26.12,META,33.41
2026-07-23 12:00:04,model_v27,98.3,96.1,Bullish,15,14.41,26.12,META,33.32
2026-07-23 14:45:09,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,23.62
2026-07-23 16:20:05,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,23.49
2026-07-24 09:40:04,model_v27,98.3,96.1,Bearish,15,19.47,34.82,KOD,23.48
2026-07-24 12:00:05,model_v27,98.3,96.1,Bearish,15,18.55,26.59,CNMD,23.42
2026-07-24 14:45:06,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,23.62
2026-07-24 16:20:04,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,23.62
2026-07-25 12:18:39,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,23.62
2026-07-25 16:42:17,model_v27,98.3,96.1,Bearish,15,17.97,26.59,KOD,22.42
2026-07-25 16:57:42,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,29.38
2026-07-25 17:08:08,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 18:33:08,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 18:40:33,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 20:37:42,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 20:41:32,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 20:49:38,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 20:51:32,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,35.61
2026-07-25 21:14:44,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 21:19:06,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 21:25:34,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 21:46:38,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 22:10:21,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 22:25:12,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 22:27:50,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 22:29:57,model_v27,98.3,96.1,Bearish,15,19.11,34.82,CNMD,31.61
2026-07-25 22:32:41,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.61
2026-07-25 22:34:50,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.61
2026-07-25 22:48:44,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-25 22:52:24,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-25 22:55:28,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-25 22:58:17,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-25 23:09:05,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-25 23:11:25,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-25 23:15:52,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-26 14:21:36,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-26 14:24:18,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-26 14:37:10,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,31.84
2026-07-26 14:51:20,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 15:17:31,model_v27,98.3,96.1,Bearish,15,39.69,59.95,KOD,44.57
2026-07-26 15:20:28,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 15:22:05,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 15:23:45,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 15:25:41,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 17:04:37,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 18:07:53,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 18:21:10,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 18:30:27,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 19:36:18,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 19:43:27,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 19:47:52,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 20:00:54,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-26 20:04:41,model_v27,98.3,96.1,Bearish,15,19.11,34.82,KOD,41.84
2026-07-28 00:27:41,model_v27,98.3,96.1,Bearish,15,18.72,26.59,CNMD,41.73
2026-07-28 00:31:49,model_v27,98.3,96.1,Bearish,15,18.72,26.59,CNMD,41.73
2026-07-28 00:55:35,model_v27,98.3,96.1,STRONG_BULL,15,18.09,26.59,KOD,44.62
2026-07-28 14:45:11,model_v27,98.3,96.1,STRONG_BULL,15,18.08,30.41,KOD,44.66
2026-07-28 16:20:10,model_v27,98.3,96.1,STRONG_BULL,15,18.1,30.41,KOD,44.66
2026-07-29 12:00:12,model_v27,98.3,96.1,STRONG_BULL,15,20.21,60.95,KOD,46.23
2026-07-29 14:45:17,model_v27,98.3,96.1,STRONG_BULL,15,18.19,30.41,KOD,45.07
2026-07-29 16:20:07,model_v27,98.3,96.1,STRONG_BULL,15,20.23,61.39,KOD,46.63
2026-07-30 11:07:33,model_v27,98.3,96.1,STRONG_BULL,15,20.19,60.16,KOD,45.72
2026-07-30 12:00:06,model_v27,98.3,96.1,STRONG_BULL,15,20.12,59.83,KOD,45.3
2026-07-30 14:45:07,model_v27,98.3,96.1,STRONG_BULL,15,18.18,30.41,KOD,44.91
2026-07-30 16:20:04,model_v27,98.3,96.1,STRONG_BULL,14,17.77,26.59,KOD,43.89
2026-07-31 09:40:08,model_v27,98.3,96.1,STRONG_BULL,15,18.21,30.41,KOD,44.51
2026-07-31 12:00:13,model_v27,98.3,96.1,STRONG_BULL,15,18.17,30.41,KOD,44.66
2026-07-31 14:45:10,model_v27,98.3,96.1,STRONG_BULL,15,18.27,31.41,KOD,44.65
2026-07-31 16:20:09,model_v27,98.3,96.1,STRONG_BULL,15,18.38,32.96,KOD,44.66
2026-08-01 19:03:45,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 19:29:05,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 19:37:20,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 19:51:12,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 19:58:08,model_v27,98.3,96.1,STRONG_BULL,15,18.38,32.96,KOD,44.66
2026-08-01 20:06:56,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 20:19:06,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 20:34:26,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 20:50:51,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-01 21:27:31,model_v27,98.3,96.1,STRONG_BULL,14,18.21,32.96,KOD,44.82
2026-08-03 13:42:05,model_v27,98.3,96.1,STRONG_BULL,15,18.41,34.76,KOD,44.71
