Date,Total_Trades,Completed_Trades,Wins,Stops,Open,Win_Rate_%,Average_Return_%,Average_Risk_Reward,Model,Accuracy,F1,Market_Regime,Stocks_Scanned,Average_ML_Probability,Highest_ML_Probability,Top_Ranked_Stock,Average_AI_Score
2026-07-21 14:55:52.700798,816.0,372.0,156.0,216.0,444.0,41.94,2.65,3.68,,,,,,,,,
2026-07-22 01:06:22,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.3,26.12,META,33.28
2026-07-22 01:10:58,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.3,26.12,META,33.28
2026-07-22 01:38:32,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.3,26.12,META,33.28
2026-07-22 12:25:54,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.23,26.12,META,32.86
2026-07-22 12:47:09,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.23,26.12,META,32.86
2026-07-22 13:18:37,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.23,26.12,META,32.86
2026-07-22 14:01:28,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 14:45:04,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 16:20:03,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 17:12:19,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 17:14:19,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:00:41,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:06:05,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:16:16,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:33:05,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:36:06,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:40:20,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:45:11,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 19:50:00,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 20:21:58,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 20:44:28,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
2026-07-22 20:59:48.945115,18516.0,961.0,403.0,558.0,1147.0,41.94,2.65,6.8,,,,,,,,,
2026-07-22 21:10:29.930448,18516.0,961.0,403.0,558.0,1147.0,41.94,2.65,6.8,,,,,,,,,
2026-07-22 21:34:14,,,,,,,,,model_v27,98.3,96.1,Bullish,15.0,14.25,26.12,META,32.87
