Symbol,Entry,Current,Return_%,Status,Target_1,Target_2,Stop_Loss
CTRN,58.54,58.54,0.01,WINNING,66.38,76.62,55.83
SKIN,0.86,0.86,0.36,WINNING,1.22,1.55,0.73
MRNA,68.02,68.02,-0.0,LOSING,85.6,101.38,64.56
BB,10.75,10.75,0.0,WINNING,13.59,16.14,10.14
NVCT,18.76,18.76,0.0,WINNING,29.27,35.2,18.12
ODYS,4.72,4.72,-0.0,LOSING,5.65,6.59,4.25
BBIO,81.91,81.91,0.0,WINNING,93.42,104.51,76.36
HIMS,34.54,34.54,0.0,WINNING,39.05,46.36,32.93
LIF,52.16,52.16,-0.0,LOSING,59.45,68.54,50.41
INTZ,0.88,0.88,-0.16,LOSING,1.08,1.37,0.77
PRCH,13.84,13.84,0.0,WINNING,16.61,19.03,13.14
ALTI,3.47,3.47,0.0,WINNING,4.1,4.84,3.27
ALGT,108.4,108.4,0.0,WINNING,123.63,142.03,104.63
HSCS,2.64,2.64,0.0,WINNING,3.75,4.65,2.41
INTG,42.6,42.6,-0.0,LOSING,52.0,64.33,41.07
ABSI,10.31,10.31,-0.05,LOSING,12.06,14.9,9.44
KRRO,13.4,13.4,-0.0,LOSING,15.55,19.19,12.79
PYXS,2.46,2.46,0.2,WINNING,3.4,4.39,2.32
VANI,1.38,1.38,-0.0,LOSING,1.66,1.99,1.22
DGICB,22.9,22.9,-0.0,LOSING,25.5,29.1,21.19
RCUS,28.25,28.25,0.0,LOSING,31.74,36.44,27.36
FDMT,11.64,11.64,0.0,WINNING,14.0,16.73,11.15
NUVB,5.7,5.7,0.09,WINNING,6.6,7.77,5.48
XNCR,14.77,14.77,0.0,WINNING,16.98,19.67,14.08
DIBS,4.76,4.76,0.0,WINNING,5.67,6.57,4.47
EDIT,3.11,3.11,-0.03,LOSING,3.82,4.65,2.94
SLS,12.54,12.54,-0.0,LOSING,15.88,19.91,11.01
FHTX,5.58,5.58,-0.0,LOSING,6.57,7.74,5.0
SLDB,9.62,9.62,-0.0,LOSING,11.45,13.47,9.05
JRSH,4.63,4.63,-0.06,LOSING,5.47,6.27,4.35
MEI,15.62,15.62,-0.0,LOSING,20.38,24.67,14.77
MYE,30.59,30.59,0.0,WINNING,35.75,39.69,29.03
ATHR,4.12,4.12,-0.0,LOSING,5.37,6.92,3.83
CUE,32.55,32.55,-0.0,LOSING,45.5,59.31,28.6
BCRX,9.87,9.87,-0.0,LOSING,11.22,12.83,9.47
KYMR,110.18,110.18,0.0,WINNING,130.05,150.41,102.34
IDYA,35.92,35.92,-0.0,LOSING,40.58,45.83,34.26
NRIX,21.79,21.79,0.0,WINNING,25.08,29.23,20.67
JACK,14.95,14.95,-0.0,LOSING,17.91,22.16,13.82
WLYB,50.72,50.72,0.0,WINNING,53.65,55.96,49.56
ENTA,13.84,13.84,0.0,WINNING,15.51,17.85,13.26
VOR,18.08,18.08,-0.0,LOSING,22.22,26.58,16.53
ARL,20.37,20.37,0.01,WINNING,24.44,27.6,18.79
PRAX,314.06,314.06,-0.0,LOSING,354.17,417.14,299.74
ADVB,5.08,5.08,-0.0,LOSING,5.92,7.58,4.75
BOLD,2.42,2.42,0.21,WINNING,2.79,3.21,2.21
TENX,16.46,16.46,-0.0,LOSING,19.4,22.89,14.71
TTWO,245.43,245.43,-0.0,LOSING,265.94,290.73,234.02
CHRN,20.34,20.34,0.0,WINNING,28.2,36.23,20.06
TEM,57.04,57.04,0.0,WINNING,63.11,74.9,53.48
STTK,6.55,6.55,0.0,WINNING,7.6,9.37,5.89
AXON,566.08,566.08,0.0,WINNING,665.07,765.08,516.07
OCGN,1.42,1.42,-0.0,LOSING,1.69,1.97,1.36
PANW,329.22,329.22,0.0,WINNING,368.17,416.3,305.15
CADL,9.76,9.76,0.0,WINNING,11.36,13.2,9.09
FOA,25.56,25.56,-0.02,LOSING,29.79,33.8,23.55
COMP,11.41,11.41,-0.0,LOSING,13.19,15.1,10.67
DSGN,14.09,14.09,0.0,WINNING,15.86,18.92,13.28
ETS,0.81,0.81,-0.32,LOSING,0.99,1.25,0.73
EML,25.95,25.95,0.02,WINNING,29.91,33.47,24.17
ANNX,5.66,5.66,0.09,WINNING,6.51,7.71,5.24
OC,141.03,141.03,-0.0,LOSING,159.91,178.52,133.25
ATAI,4.86,4.86,0.0,WINNING,5.52,6.65,4.54
RYTM,106.55,106.55,0.0,WINNING,115.92,130.04,102.35
RCKT,3.69,3.69,0.14,WINNING,4.33,5.07,3.39
AMLX,17.32,17.32,-0.03,LOSING,19.15,22.07,16.54
ORKA,85.37,85.37,0.0,WINNING,97.78,113.56,80.34
TCI,44.97,44.97,0.0,WINNING,50.81,57.24,42.27
CARG,32.86,32.86,0.0,WINNING,36.49,40.68,31.32
BFLY,8.08,8.08,-0.0,LOSING,9.69,11.91,7.33
AIRT,27.08,27.08,-0.0,LOSING,34.49,40.46,24.1
MLYS,27.56,27.56,-0.0,LOSING,31.11,35.77,25.92
IRWD,4.24,4.24,-0.12,LOSING,4.88,5.64,3.96
KURA,10.98,10.98,-0.0,LOSING,12.22,13.89,10.36
PNBK,1.14,1.14,-0.0,LOSING,1.35,1.65,1.06
QTRX,3.94,3.94,0.0,WINNING,4.57,5.55,3.67
GRPN,23.39,23.39,-0.02,LOSING,27.99,33.53,21.14
ONCY,0.91,0.91,-0.37,LOSING,1.08,1.32,0.88
WRAP,2.12,2.12,-0.24,LOSING,2.73,3.43,1.77
TTRX,9.62,9.62,-0.0,LOSING,11.69,14.4,8.27
