Symbol,Strategy,Confidence_Score,Research_Score,Rank_Score,Sector,Entry,Current,Return_%,Status,Target_1,Target_2,Stop_Loss
LUCY,STRONG PULLBACK,90,116.0,83.0,Healthcare,1.01,1.01,-0.0,LOSING,1.72,2.22,0.87
WEN,STRONG PULLBACK,90,106.0,83.0,Consumer Cyclical,7.52,7.52,0.06,WINNING,9.45,11.21,7.25
BB,STRONG PULLBACK,83,108.0,88.0,Technology,10.75,10.75,0.0,WINNING,13.59,16.14,10.14
LIND,QUALITY SETUP,83,106.0,88.0,Consumer Cyclical,26.29,26.29,0.0,WINNING,30.0,33.39,25.35
KTCC,STRONG PULLBACK,83,103.0,83.0,Technology,3.99,3.99,0.0,WINNING,4.42,5.25,3.85
LIF,STRONG PULLBACK,83,103.0,83.0,Technology,52.16,52.16,-0.0,LOSING,59.45,68.54,50.41
NNBR,STRONG PULLBACK,83,103.0,83.0,Industrials,3.38,3.38,0.15,WINNING,4.44,5.51,3.1
ALT,STRONG PULLBACK,83,113.0,83.0,Healthcare,2.95,2.95,0.17,WINNING,3.4,3.89,2.83
NUVB,QUALITY SETUP,83,111.0,83.0,Healthcare,5.7,5.7,0.09,WINNING,6.6,7.77,5.48
AMCI,STRONG PULLBACK,83,103.0,83.0,Technology,5.05,5.05,0.0,WINNING,6.69,8.43,4.61
JBLU,STRONG PULLBACK,83,103.0,83.0,Industrials,5.68,5.68,-0.0,LOSING,6.27,7.26,5.49
BH,STRONG PULLBACK,83,103.0,83.0,Consumer Cyclical,383.2,383.2,0.0,WINNING,443.0,507.42,369.08
SGHT,STRONG PULLBACK,83,113.0,83.0,Healthcare,5.36,5.36,0.0,WINNING,5.89,6.86,5.19
EYPT,STRONG PULLBACK,83,113.0,83.0,Healthcare,13.98,13.98,0.04,WINNING,15.92,18.89,13.4
BCRX,STRONG PULLBACK,83,113.0,83.0,Healthcare,9.87,9.87,-0.0,LOSING,11.22,12.83,9.47
DIBS,QUALITY SETUP,83,101.0,83.0,Communication Services,4.76,4.76,0.0,WINNING,5.67,6.57,4.47
ARHS,STRONG PULLBACK,83,103.0,83.0,Consumer Cyclical,7.86,7.86,0.0,WINNING,8.81,10.03,7.57
PACB,STRONG PULLBACK,83,113.0,83.0,Healthcare,1.54,1.54,0.32,WINNING,1.84,2.21,1.47
ALTI,STRONG PULLBACK,83,108.0,83.0,Financial Services,3.47,3.47,0.0,WINNING,4.1,4.84,3.27
CUE,QUALITY SETUP,83,111.0,83.0,Healthcare,32.55,32.55,-0.0,LOSING,45.5,59.31,28.6
HIMS,STRONG PULLBACK,75,110.0,85.0,Healthcare,34.54,34.54,0.0,WINNING,39.05,46.36,32.93
RIVN,STRONG PULLBACK,75,100.0,85.0,Consumer Cyclical,17.2,17.2,-0.0,LOSING,20.2,24.13,16.17
CTRN,QUALITY SETUP,75,92.0,84.0,Consumer Cyclical,58.54,58.54,0.01,WINNING,66.38,76.62,55.83
OCUL,QUALITY SETUP,75,103.0,80.0,Healthcare,9.85,9.85,0.0,WINNING,10.94,12.57,9.47
WLYB,QUALITY SETUP,75,88.0,80.0,Communication Services,50.72,50.72,0.0,WINNING,53.65,55.96,49.56
WDFC,QUALITY SETUP,75,88.0,80.0,Basic Materials,251.91,251.91,0.0,WINNING,298.9,332.1,235.31
WLFC,STRONG PULLBACK,75,95.0,80.0,Industrials,218.45,218.45,-0.0,LOSING,244.62,275.8,209.1
ENTA,STRONG PULLBACK,75,105.0,80.0,Healthcare,13.84,13.84,0.0,WINNING,15.51,17.85,13.26
COGT,STRONG PULLBACK,75,105.0,80.0,Healthcare,37.32,37.32,-0.0,LOSING,40.89,45.74,36.09
JACK,STRONG PULLBACK,75,95.0,80.0,Consumer Cyclical,14.95,14.95,-0.0,LOSING,17.91,22.16,13.82
ATHR,PULLBACK CONTINUATION,68,103.0,78.0,Technology,4.12,4.12,-0.0,LOSING,5.37,6.92,3.83
MYE,PULLBACK CONTINUATION,68,108.0,83.0,Consumer Cyclical,30.59,30.59,0.0,WINNING,35.75,39.69,29.03
JRSH,MOMENTUM,68,88.0,78.0,Consumer Cyclical,4.63,4.63,-0.06,LOSING,5.47,6.27,4.35
KRRO,PULLBACK CONTINUATION,68,113.0,78.0,Healthcare,13.4,13.4,-0.0,LOSING,15.55,19.19,12.79
OCGN,MOMENTUM,68,99.0,79.0,Healthcare,1.42,1.42,-0.0,LOSING,1.69,1.97,1.36
XNCR,PULLBACK CONTINUATION,68,113.0,78.0,Healthcare,14.77,14.77,0.0,WINNING,16.98,19.67,14.08
ALGT,PULLBACK CONTINUATION,68,103.0,78.0,Industrials,108.4,108.4,0.0,WINNING,123.63,142.03,104.63
RCUS,PULLBACK CONTINUATION,68,113.0,78.0,Healthcare,28.25,28.25,0.0,LOSING,31.74,36.44,27.36
EDIT,PULLBACK CONTINUATION,68,113.0,78.0,Healthcare,3.11,3.11,-0.03,LOSING,3.82,4.65,2.94
AAL,PULLBACK CONTINUATION,65,103.0,75.0,Industrials,16.39,16.39,0.03,WINNING,18.79,20.95,16.32
COOK,WATCH,65,78.0,75.0,Consumer Cyclical,71.54,71.54,0.0,WINNING,86.59,105.98,70.45
DGICB,MOMENTUM,60,98.0,83.0,Financial Services,22.9,22.9,-0.0,LOSING,25.5,29.1,21.19
INTZ,MOMENTUM,60,93.0,83.0,Technology,0.88,0.88,-0.16,LOSING,1.08,1.37,0.77
BBIO,MOMENTUM,60,97.0,82.0,Healthcare,81.91,81.91,0.0,WINNING,93.42,104.51,76.36
LPCN,PULLBACK CONTINUATION,60,110.0,80.0,Healthcare,2.43,2.43,0.21,WINNING,2.67,3.11,2.34
NRG,PULLBACK CONTINUATION,60,100.0,80.0,Utilities,139.03,139.03,-0.0,LOSING,150.97,166.75,134.81
VRA,WATCH,60,78.0,83.0,Consumer Cyclical,3.93,3.93,0.0,WINNING,4.34,5.01,3.73
INSM,PULLBACK CONTINUATION,60,109.0,79.0,Healthcare,109.24,109.24,-0.0,LOSING,119.54,134.85,102.39
TTWO,PULLBACK CONTINUATION,60,99.0,79.0,Communication Services,245.43,245.43,-0.0,LOSING,265.94,290.73,234.02
RAPP,WATCH,60,84.0,79.0,Healthcare,40.21,40.21,-0.0,LOSING,43.76,51.85,38.32
PANW,PULLBACK CONTINUATION,60,94.0,79.0,Technology,329.22,329.22,0.0,WINNING,368.17,416.3,305.15
TEM,PULLBACK CONTINUATION,60,109.0,79.0,Healthcare,57.04,57.04,0.0,WINNING,63.11,74.9,53.48
JBTM,PULLBACK CONTINUATION,60,98.0,78.0,Industrials,137.61,137.61,0.0,WINNING,149.54,164.18,132.64
VANI,MOMENTUM,60,98.0,78.0,Healthcare,1.38,1.38,-0.0,LOSING,1.66,1.99,1.22
OC,PULLBACK CONTINUATION,60,98.0,78.0,Industrials,141.03,141.03,-0.0,LOSING,159.91,178.52,133.25
