Symbol,Security Name,Market Category,ETF,Test Issue,Exchange
AAAP,Pacer Barings CLO Market Flex ETF,G,Y,N,NASDAQ
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,G,N,N,NASDAQ
AACBR,Artius II Acquisition Inc. - Rights,G,N,N,NASDAQ
AACBU,Artius II Acquisition Inc. - Units,G,N,N,NASDAQ
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",S,N,N,NASDAQ
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,G,N,N,NASDAQ
AACIU,Armada Acquisition Corp. III - Units,G,N,N,NASDAQ
AACIW,Armada Acquisition Corp. III - Warrant,G,N,N,NASDAQ
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,G,N,N,NASDAQ
AACOU,Abony Acquisition Corp. I - Units,G,N,N,NASDAQ
AACOW,Abony Acquisition Corp. I - Warrants,G,N,N,NASDAQ
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,G,N,N,NASDAQ
AACPR,Apogee Acquisition Corp - Rights,G,N,N,NASDAQ
AACPU,Apogee Acquisition Corp - Units,G,N,N,NASDAQ
AACPW,Apogee Acquisition Corp - Warrant,G,N,N,NASDAQ
AADR,AdvisorShares Dorsey Wright ADR ETF,G,Y,N,NASDAQ
AAEQ,Alpha Architect US Equity 2 ETF,G,Y,N,NASDAQ
AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,NASDAQ
AALG,Leverage Shares 2X Long AAL Daily ETF,G,Y,N,NASDAQ
AAME,Atlantic American Corporation - Common Stock,G,N,N,NASDAQ
AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,NASDAQ
AAON,"AAON, Inc. - Common Stock",Q,N,N,NASDAQ
AAPB,GraniteShares 2x Long AAPL Daily ETF,G,Y,N,NASDAQ
AAPD,Direxion Daily AAPL Bear 1X ETF,G,Y,N,NASDAQ
AAPG,Ascentage Pharma Group International - American Depository Shares,G,N,N,NASDAQ
AAPL,Apple Inc. - Common Stock,Q,N,N,NASDAQ
AAPU,Direxion Daily AAPL Bull 2X ETF,G,Y,N,NASDAQ
AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,N,N,NASDAQ
AAUS,Alpha Architect US Equity ETF,G,Y,N,NASDAQ
AAVM,Alpha Architect Global Factor Equity ETF,G,Y,N,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan ETF,G,Y,N,NASDAQ
ABAT,American Battery Technology Company - Common Stock,S,N,N,NASDAQ
ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,NASDAQ
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,G,Y,N,NASDAQ
ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,NASDAQ
ABI,VictoryShares Pioneer Asset-Based Income ETF,G,Y,N,NASDAQ
ABIG,Argent Large Cap ETF,G,Y,N,NASDAQ
ABLV,Able View Global Inc. - Class B Ordinary Shares,S,N,N,NASDAQ
ABLVW,Able View Global Inc. - Warrant,S,N,N,NASDAQ
ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,NASDAQ
ABNG,Leverage Shares 2x Long ABNB Daily ETF,G,Y,N,NASDAQ
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,N,N,NASDAQ
ABSI,Absci Corporation - Common Stock,Q,N,N,NASDAQ
ABTC,American Bitcoin Corp. - Class A Common Stock,S,N,N,NASDAQ
ABTS,Abits Group Inc - Ordinary Shares,S,N,N,NASDAQ
ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,NASDAQ
ABVC,"ABVC BioPharma, Inc. - Common Stock",S,N,N,NASDAQ
ABVX,Abivax SA - American Depositary Shares,G,N,N,NASDAQ
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,G,N,N,NASDAQ
ACAAU,Averin Capital Acquisition Corp. - Units,G,N,N,NASDAQ
ACAAW,Averin Capital Acquisition Corp. - Warrants,G,N,N,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,NASDAQ
ACB,Aurora Cannabis Inc. - Common Shares,S,N,N,NASDAQ
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,S,N,N,NASDAQ
ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,N,N,NASDAQ
ACEP,ARS Core Equity Portfolio ETF,G,Y,N,NASDAQ
ACET,"Adicet Bio, Inc. - Common Stock",S,N,N,NASDAQ
ACFN,"Acorn Energy, Inc. - Common Stock",S,N,N,NASDAQ
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,G,N,N,NASDAQ
ACGCU,ACP Holdings Acquisition Corp. - Units,G,N,N,NASDAQ
ACGCW,ACP Holdings Acquisition Corp. - Warrants,G,N,N,NASDAQ
ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,NASDAQ
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,N,N,NASDAQ
